                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.20116,                  0.895,                      1,                0.36257,             0.00023641,             0.00023641,             0.00023641
                      2,                0.05895,                0.95333,                      1,                0.30117,             0.00046972,             0.00046972,             0.00046972
                      3,                0.05693,                  0.885,                      1,                0.33907,             0.00069831,             0.00069831,             0.00069831
                      4,                 0.0399,                   0.94,                      1,                0.31041,             0.00069279,             0.00069279,             0.00069279
                      5,                0.03382,                   0.97,                      1,                 0.2924,             0.00069279,             0.00069279,             0.00069279
                      6,                0.02123,                0.95833,                      1,                0.29728,             0.00068573,             0.00068573,             0.00068573
                      7,                0.01925,                0.96333,                      1,                0.29356,             0.00067866,             0.00067866,             0.00067866
                      8,                0.00883,                0.95667,                      1,                0.29435,             0.00067159,             0.00067159,             0.00067159
                      9,                0.00728,                0.96167,                      1,                0.29156,             0.00066452,             0.00066452,             0.00066452
                     10,                0.00452,                0.96667,                      1,                0.28795,             0.00065745,             0.00065745,             0.00065745
                     11,                0.01218,                  0.965,                      1,                0.29222,             0.00065038,             0.00065038,             0.00065038
                     12,                0.00603,                0.96333,                      1,                0.28966,             0.00064331,             0.00064331,             0.00064331
                     13,                0.00465,                0.97667,                      1,                 0.2857,             0.00063625,             0.00063625,             0.00063625
                     14,                0.00159,                   0.97,                      1,                0.28696,             0.00062918,             0.00062918,             0.00062918
                     15,                0.00205,                  0.965,                      1,                0.28828,             0.00062211,             0.00062211,             0.00062211
                     16,                0.00212,                  0.965,                      1,                0.28972,             0.00061504,             0.00061504,             0.00061504
                     17,                0.01087,                0.93167,                      1,                0.30521,             0.00060797,             0.00060797,             0.00060797
                     18,                0.01277,                0.96833,                      1,                0.28904,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00503,                   0.97,                      1,                0.28757,             0.00059383,             0.00059383,             0.00059383
                     20,                0.00361,                0.97333,                      1,                 0.2851,             0.00058677,             0.00058677,             0.00058677
                     21,                0.00375,                0.97667,                      1,                0.28517,              0.0005797,              0.0005797,              0.0005797
                     22,                0.00361,                0.96667,                      1,                0.28811,             0.00057263,             0.00057263,             0.00057263
                     23,                0.00245,                   0.97,                      1,                0.28677,             0.00056556,             0.00056556,             0.00056556
                     24,                0.00891,                   0.97,                      1,                0.28773,             0.00055849,             0.00055849,             0.00055849
                     25,                0.00542,                0.96167,                      1,                0.28983,             0.00055142,             0.00055142,             0.00055142
                     26,                0.00199,                0.97167,                      1,                0.28657,             0.00054435,             0.00054435,             0.00054435
                     27,                0.00114,                   0.97,                      1,                0.28599,             0.00053728,             0.00053728,             0.00053728
                     28,                0.00128,                  0.965,                      1,                  0.289,             0.00053022,             0.00053022,             0.00053022
                     29,                0.00133,                0.97667,                      1,                0.28573,             0.00052315,             0.00052315,             0.00052315
                     30,                0.00089,                0.97333,                      1,                0.28564,             0.00051608,             0.00051608,             0.00051608
                     31,                0.00078,                  0.975,                      1,                0.28546,             0.00050901,             0.00050901,             0.00050901
