                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0183,                 11.649,                 1.1143,                0.44297,                0.64174,                0.43278,                0.16657,                  2.197,                 1.5971,                0.94065,             0.00023705,             0.00023705,             0.00023705
                      2,                 2.1307,                 1.6458,                0.92162,                0.46137,                0.78119,                0.51438,                0.24647,                 1.7755,                 1.3598,                0.88558,             0.00047035,             0.00047035,             0.00047035
                      3,                 1.9785,                 1.4757,                0.89452,                0.50816,                  0.842,                0.58549,                0.29378,                 1.7113,                 1.2785,                0.87938,             0.00069893,             0.00069893,             0.00069893
                      4,                 1.8294,                 1.3445,                0.87863,                0.47599,                  0.845,                0.49883,                0.27086,                  1.555,                  1.267,                0.86259,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.7818,                 1.2945,                0.87334,                0.51821,                0.87123,                0.58766,                0.31011,                 1.6626,                 1.1915,                0.87545,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.7095,                  1.267,                0.86408,                0.52901,                  0.868,                0.60649,                0.33321,                 1.5395,                 1.1893,                0.86061,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.6145,                  1.215,                0.85574,                0.60509,                  0.808,                0.70191,                0.38895,                 1.5679,                 1.1509,                0.86105,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.6199,                 1.1739,                0.85454,                 0.6362,                  0.808,                0.74876,                0.44158,                 1.4294,                 1.0595,                0.85306,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.5702,                 1.1305,                0.84482,                0.65347,                0.82029,                0.75461,                0.45305,                 1.3753,                 1.0535,                0.84388,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.4994,                 1.1128,                0.83858,                0.68078,                0.78909,                0.75656,                0.43664,                 1.4313,                  1.075,                0.85182,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.4606,                 1.0892,                0.82962,                0.73306,                  0.768,                0.78945,                0.49447,                 1.2705,                 1.0127,                0.83636,             0.00065038,             0.00065038,             0.00065038
                     12,                 1.4406,                 1.0699,                0.83328,                 0.7112,                  0.792,                0.77359,                0.49736,                 1.2214,                   1.01,                0.83649,             0.00064331,             0.00064331,             0.00064331
                     13,                  1.428,                 1.0051,                0.83147,                0.73007,                  0.815,                0.81434,                0.51217,                 1.2407,                0.97553,                0.83722,             0.00063625,             0.00063625,             0.00063625
                     14,                  1.419,                0.99983,                0.83391,                0.75048,                  0.791,                0.80608,                0.52152,                 1.1845,                 0.9501,                 0.8344,             0.00062918,             0.00062918,             0.00062918
                     15,                  1.342,                0.97171,                 0.8183,                0.73844,                  0.823,                0.84087,                0.54121,                 1.2008,                0.94645,                  0.834,             0.00062211,             0.00062211,             0.00062211
                     16,                 1.3836,                0.97222,                0.83316,                0.75056,                0.82745,                0.84408,                0.53888,                 1.2296,                0.91614,                0.83577,             0.00061504,             0.00061504,             0.00061504
                     17,                 1.3343,                0.93652,                  0.824,                 0.7507,                0.82206,                0.85068,                0.55604,                  1.233,                0.91767,                0.83469,             0.00060797,             0.00060797,             0.00060797
                     18,                 1.3316,                0.94835,                 0.8238,                0.72269,                  0.846,                0.84146,                0.54473,                 1.2078,                0.91018,                 0.8303,              0.0006009,              0.0006009,              0.0006009
                     19,                 1.3306,                0.95642,                0.82426,                0.77865,                0.80909,                0.85477,                0.58071,                 1.1055,                0.88244,                0.82578,             0.00059383,             0.00059383,             0.00059383
                     20,                 1.3097,                0.89947,                0.82596,                0.78153,                  0.806,                0.84243,                0.54861,                 1.1994,                0.90209,                0.83554,             0.00058677,             0.00058677,             0.00058677
                     21,                 1.2989,                0.90239,                0.82059,                0.75575,                  0.816,                0.84387,                0.57463,                 1.1191,                0.87001,                0.82763,              0.0005797,              0.0005797,              0.0005797
                     22,                 1.2984,                 0.9329,                0.82297,                0.79722,                  0.816,                0.86336,                0.56653,                 1.1543,                0.86635,                  0.831,             0.00057263,             0.00057263,             0.00057263
                     23,                 1.2599,                0.90489,                0.81493,                0.79156,                  0.823,                0.85756,                0.55944,                 1.1757,                0.87148,                0.83053,             0.00056556,             0.00056556,             0.00056556
                     24,                 1.2373,                0.88087,                0.81863,                0.77404,                  0.837,                0.86493,                0.57644,                  1.137,                0.86975,                0.83041,             0.00055849,             0.00055849,             0.00055849
                     25,                 1.2471,                0.88727,                0.81836,                 0.7929,                  0.828,                0.88135,                0.60154,                 1.1138,                 0.8152,                0.82719,             0.00055142,             0.00055142,             0.00055142
                     26,                 1.2422,                0.86934,                0.81407,                0.80223,                0.83965,                0.88214,                0.59928,                 1.1189,                0.82895,                0.82746,             0.00054435,             0.00054435,             0.00054435
                     27,                 1.2303,                0.82849,                0.81224,                0.82856,                  0.841,                0.87842,                0.60695,                 1.0665,                0.79157,                0.82621,             0.00053728,             0.00053728,             0.00053728
                     28,                 1.2347,                0.83994,                0.81522,                0.82116,                  0.865,                0.89622,                0.60587,                 1.0934,                0.79337,                0.82508,             0.00053022,             0.00053022,             0.00053022
                     29,                  1.225,                0.83786,                0.81473,                0.82233,                0.85162,                0.89276,                0.61241,                 1.0803,                0.78666,                0.82632,             0.00052315,             0.00052315,             0.00052315
                     30,                 1.1687,                0.78724,                0.81147,                 0.8595,                  0.838,                0.89968,                 0.6205,                 1.0732,                0.77701,                0.82631,             0.00051608,             0.00051608,             0.00051608
                     31,                 1.1905,                0.78728,                0.81271,                0.87082,                  0.858,                0.91353,                0.61763,                 1.0824,                0.74668,                0.82528,             0.00050901,             0.00050901,             0.00050901
                     32,                 1.1739,                0.78939,                0.80944,                0.82702,                  0.862,                0.90034,                0.61746,                 1.0719,                0.77687,                0.82474,             0.00050194,             0.00050194,             0.00050194
                     33,                 1.2004,                0.78134,                0.81192,                 0.8245,                0.84566,                0.89089,                0.61445,                 1.0709,                0.77291,                0.82554,             0.00049487,             0.00049487,             0.00049487
                     34,                 1.1736,                0.77285,                0.81545,                 0.8467,                  0.877,                0.91283,                 0.6312,                 1.0657,                0.75242,                0.82481,              0.0004878,              0.0004878,              0.0004878
                     35,                 1.1759,                0.76567,                0.81043,                 0.8476,                0.86208,                0.90709,                0.62554,                 1.0577,                0.75157,                0.82181,             0.00048074,             0.00048074,             0.00048074
                     36,                 1.1543,                0.75692,                0.80583,                0.85318,                0.87163,                 0.9113,                0.63856,                  1.053,                0.73467,                0.82408,             0.00047367,             0.00047367,             0.00047367
                     37,                 1.1544,                0.73689,                0.80868,                0.85009,                0.86761,                0.90219,                0.61327,                 1.0875,                0.75076,                0.82664,              0.0004666,              0.0004666,              0.0004666
                     38,                 1.1442,                0.73819,                0.80858,                0.87812,                  0.863,                0.91893,                0.63502,                  1.066,                 0.7327,                0.82574,             0.00045953,             0.00045953,             0.00045953
                     39,                 1.1222,                0.69904,                0.80363,                0.85267,                0.87971,                0.91335,                0.65044,                 1.0266,                0.72304,                0.82218,             0.00045246,             0.00045246,             0.00045246
                     40,                 1.1077,                0.70572,                0.80413,                0.84091,                0.89332,                0.92023,                0.65463,                 1.0299,                0.71205,                0.82057,             0.00044539,             0.00044539,             0.00044539
                     41,                 1.1148,                 0.7117,                0.80357,                0.88891,                  0.874,                 0.9293,                0.65235,                 1.0397,                0.69763,                0.82067,             0.00043832,             0.00043832,             0.00043832
                     42,                 1.1353,                0.71043,                0.80474,                0.87153,                  0.892,                 0.9362,                0.65916,                 1.0442,                0.68123,                0.82334,             0.00043126,             0.00043126,             0.00043126
                     43,                 1.0913,                0.70866,                0.80272,                0.85961,                  0.904,                0.93347,                 0.6514,                 1.0329,                0.68847,                0.82086,             0.00042419,             0.00042419,             0.00042419
                     44,                 1.1133,                0.70912,                0.80691,                 0.9011,                    0.9,                0.94431,                0.66821,                 1.0399,                0.67585,                0.82158,             0.00041712,             0.00041712,             0.00041712
                     45,                 1.0792,                0.66396,                0.80289,                0.90632,                  0.905,                0.94792,                0.67385,                 1.0265,                0.65371,                0.81984,             0.00041005,             0.00041005,             0.00041005
                     46,                 1.0681,                0.66107,                0.79994,                0.91509,                0.90528,                0.95465,                0.68003,                 1.0037,                0.63084,                0.81879,             0.00040298,             0.00040298,             0.00040298
                     47,                 1.0672,                0.64326,                0.80264,                 0.9018,                0.91829,                0.94954,                0.67526,                 1.0086,                0.63111,                0.81982,             0.00039591,             0.00039591,             0.00039591
                     48,                 1.0707,                0.63298,                0.80312,                0.91839,                0.91153,                0.95657,                0.68977,                0.98104,                0.60231,                0.81863,             0.00038884,             0.00038884,             0.00038884
                     49,                 1.0553,                0.63327,                0.79816,                0.91839,                0.90022,                0.95513,                0.69161,                0.98853,                0.61171,                0.81952,             0.00038178,             0.00038178,             0.00038178
                     50,                 1.0661,                0.62519,                0.80186,                0.90432,                0.90735,                0.95262,                0.68508,                0.98968,                0.60596,                0.81967,             0.00037471,             0.00037471,             0.00037471
                     51,                 1.0484,                0.63018,                 0.7985,                0.90089,                0.93626,                0.96015,                0.69537,                0.97872,                 0.5931,                0.81827,             0.00036764,             0.00036764,             0.00036764
                     52,                 1.0541,                0.62472,                0.80215,                0.91807,                   0.91,                0.95785,                0.70405,                0.96671,                0.59701,                0.81789,             0.00036057,             0.00036057,             0.00036057
                     53,                 1.0626,                0.61348,                0.80324,                0.93432,                0.92468,                 0.9662,                0.70447,                 0.9735,                 0.5717,                0.81696,              0.0003535,              0.0003535,              0.0003535
                     54,                 1.0096,                0.58508,                0.79631,                0.93557,                0.92935,                0.96511,                0.69807,                0.98061,                0.56179,                0.81874,             0.00034643,             0.00034643,             0.00034643
                     55,                 1.0458,                0.61388,                0.80078,                0.93461,                0.91473,                0.96702,                0.70703,                0.95292,                0.56587,                0.81608,             0.00033936,             0.00033936,             0.00033936
                     56,                  1.035,                0.60686,                0.79451,                0.94032,                   0.92,                0.96888,                0.70372,                0.97564,                0.56383,                 0.8196,              0.0003323,              0.0003323,              0.0003323
                     57,                 1.0531,                0.59916,                0.79949,                0.93207,                0.91931,                 0.9623,                0.70244,                0.95951,                0.57242,                0.81749,             0.00032523,             0.00032523,             0.00032523
                     58,                 1.0191,                0.58507,                0.79665,                0.94561,                0.92141,                0.96587,                0.70611,                0.98446,                0.56554,                0.81858,             0.00031816,             0.00031816,             0.00031816
                     59,                 1.0136,                0.56985,                0.79694,                0.93713,                0.92419,                0.96563,                0.70267,                0.97402,                 0.5736,                0.81933,             0.00031109,             0.00031109,             0.00031109
                     60,                 0.9983,                0.56186,                0.79696,                 0.9539,                  0.929,                0.97165,                0.71598,                0.96563,                0.54179,                0.81791,             0.00030402,             0.00030402,             0.00030402
                     61,                 1.0009,                0.55854,                0.79968,                0.94861,                  0.937,                 0.9679,                0.70995,                0.97763,                0.53851,                0.81735,             0.00029695,             0.00029695,             0.00029695
                     62,                 1.0041,                0.56352,                0.79264,                0.94846,                0.93853,                0.96866,                0.71464,                0.94367,                0.54293,                0.81581,             0.00028988,             0.00028988,             0.00028988
                     63,                0.99093,                0.54695,                0.79365,                0.93884,                  0.943,                0.96649,                0.71382,                0.96689,                 0.5414,                0.81808,             0.00028282,             0.00028282,             0.00028282
                     64,                0.99691,                0.55576,                0.79816,                0.93523,                  0.941,                0.96771,                0.72236,                0.93513,                0.53001,                0.81495,             0.00027575,             0.00027575,             0.00027575
                     65,                0.96294,                0.54074,                0.79173,                0.94063,                  0.945,                0.97115,                 0.7183,                0.94324,                0.52514,                0.81693,             0.00026868,             0.00026868,             0.00026868
                     66,                0.96935,                0.53945,                0.79346,                0.94362,                 0.9373,                0.96672,                0.72031,                0.94431,                0.52779,                0.81564,             0.00026161,             0.00026161,             0.00026161
                     67,                0.97253,                0.54061,                0.79275,                0.94221,                0.94558,                0.97025,                 0.7171,                0.94374,                0.52651,                0.81651,             0.00025454,             0.00025454,             0.00025454
                     68,                0.97186,                0.52312,                0.79228,                0.94288,                0.94083,                0.96883,                0.72405,                0.91735,                0.52032,                0.81485,             0.00024747,             0.00024747,             0.00024747
                     69,                  0.963,                0.50311,                0.79781,                0.95453,                  0.949,                0.97498,                0.72793,                0.93292,                0.50889,                0.81641,              0.0002404,              0.0002404,              0.0002404
                     70,                0.94218,                0.52239,                 0.7941,                0.94867,                0.94265,                0.97041,                0.72662,                0.92447,                0.52015,                0.81464,             0.00023334,             0.00023334,             0.00023334
                     71,                0.93207,                 0.5027,                 0.7912,                0.94951,                0.94037,                0.97113,                0.72636,                0.93071,                0.52238,                 0.8159,             0.00022627,             0.00022627,             0.00022627
                     72,                 0.9176,                0.50897,                0.78844,                0.95446,                0.94309,                0.97397,                0.73023,                0.93114,                0.50716,                0.81473,              0.0002192,              0.0002192,              0.0002192
                     73,                0.92003,                0.49912,                 0.7901,                0.94791,                0.94632,                0.97548,                0.73861,                 0.9169,                 0.4962,                0.81345,             0.00021213,             0.00021213,             0.00021213
                     74,                0.92996,                0.49946,                0.79612,                0.96009,                0.93813,                0.97234,                0.73128,                 0.9287,                0.50204,                0.81625,             0.00020506,             0.00020506,             0.00020506
                     75,                0.90494,                0.48884,                0.79019,                0.96278,                  0.949,                0.97143,                 0.7269,                0.92095,                0.49418,                0.81396,             0.00019799,             0.00019799,             0.00019799
                     76,                0.91689,                0.48926,                0.78536,                0.94336,                0.94928,                0.96982,                0.73051,                0.91732,                0.49313,                0.81509,             0.00019092,             0.00019092,             0.00019092
                     77,                0.91357,                 0.4967,                0.78995,                0.95242,                0.94083,                0.97225,                0.72873,                0.93793,                0.49766,                0.81582,             0.00018385,             0.00018385,             0.00018385
                     78,                 0.9156,                0.48227,                0.79106,                0.94498,                  0.951,                0.97239,                0.73193,                0.93659,                0.50375,                0.81584,             0.00017679,             0.00017679,             0.00017679
                     79,                0.88072,                0.48039,                0.78759,                0.95682,                  0.941,                0.97467,                0.73893,                0.92067,                0.49897,                0.81493,             0.00016972,             0.00016972,             0.00016972
                     80,                0.89785,                0.47796,                0.78649,                0.96084,                  0.948,                 0.9735,                0.72715,                0.92855,                0.49436,                0.81617,             0.00016265,             0.00016265,             0.00016265
                     81,                0.88137,                0.46028,                0.78937,                0.95168,                  0.954,                0.97528,                0.73621,                0.91482,                0.48686,                0.81487,             0.00015558,             0.00015558,             0.00015558
                     82,                 0.8822,                 0.4587,                0.78851,                0.95453,                0.94466,                0.96959,                 0.7331,                0.91753,                0.48341,                0.81481,             0.00014851,             0.00014851,             0.00014851
                     83,                0.87715,                0.46539,                0.78457,                0.95991,                0.95777,                0.97535,                0.73139,                 0.9183,                0.47762,                0.81452,             0.00014144,             0.00014144,             0.00014144
                     84,                0.85966,                0.45647,                0.78636,                0.96749,                  0.953,                0.97214,                0.73589,                0.92278,                0.47581,                0.81463,             0.00013437,             0.00013437,             0.00013437
                     85,                0.85697,                0.44559,                0.78624,                0.96058,                0.95033,                0.97458,                0.73731,                0.91852,                0.47914,                0.81453,             0.00012731,             0.00012731,             0.00012731
                     86,                0.87045,                0.44773,                 0.7878,                0.96226,                   0.95,                0.97406,                0.73777,                0.92139,                0.48642,                0.81546,             0.00012024,             0.00012024,             0.00012024
                     87,                0.85012,                0.44964,                0.78084,                 0.9529,                  0.956,                0.97386,                0.73784,                0.91972,                0.47861,                 0.8152,             0.00011317,             0.00011317,             0.00011317
                     88,                0.84187,                0.43386,                0.78094,                0.95708,                 0.9589,                0.97431,                0.74099,                0.91204,                0.47238,                0.81444,              0.0001061,              0.0001061,              0.0001061
                     89,                0.83318,                0.43683,                 0.7819,                0.96426,                0.94418,                0.97565,                0.74477,                0.91319,                0.47323,                0.81404,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.84243,                0.43618,                0.78558,                0.95857,                  0.953,                0.97213,                0.74061,                0.91628,                0.47574,                0.81393,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.78811,                0.40983,                0.78576,                0.96145,                 0.9478,                0.97367,                 0.7358,                0.93085,                0.48889,                0.81468,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.77746,                0.39792,                0.78347,                 0.9659,                  0.951,                0.97377,                0.73825,                  0.926,                0.47907,                0.81489,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.79184,                0.40942,                0.78289,                 0.9689,                  0.952,                0.97326,                0.73688,                0.93463,                0.48008,                0.81543,             7.0757e-05,             7.0757e-05,             7.0757e-05
