                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3049,                0.68064,                0.81629,                0.94546,                  0.928,                0.96392,                0.65529,                 1.0904,                 0.5588,                0.78886,               0.006634,               0.006634,               0.006634
                     37,                  1.296,                0.65868,                0.81165,                0.94852,                   0.94,                0.96782,                  0.667,                 1.0835,                0.54125,                0.78579,               0.006535,               0.006535,               0.006535
                     38,                 1.2752,                0.65543,                0.80787,                0.95428,                0.92884,                0.96618,                0.66568,                 1.0857,                0.54036,                0.78639,               0.006436,               0.006436,               0.006436
                     39,                  1.284,                0.66863,                0.81068,                 0.9567,                0.93906,                 0.9712,                0.66677,                 1.0837,                0.53444,                 0.7857,               0.006337,               0.006337,               0.006337
                     40,                 1.2746,                0.66061,                0.81037,                0.95224,                0.93702,                0.96845,                 0.6668,                 1.0775,                0.53212,                0.78556,               0.006238,               0.006238,               0.006238
                     41,                 1.2658,                0.63855,                 0.8122,                0.95302,                 0.9385,                0.97045,                0.67132,                  1.076,                0.54229,                0.78575,               0.006139,               0.006139,               0.006139
                     42,                 1.2677,                0.64549,                0.81055,                0.95287,                 0.9295,                0.96699,                0.67523,                 1.0605,                0.54062,                0.78565,                0.00604,                0.00604,                0.00604
                     43,                  1.261,                0.64086,                0.80908,                 0.9528,                 0.9335,                0.97057,                0.67476,                  1.046,                0.53791,                0.78327,               0.005941,               0.005941,               0.005941
                     44,                 1.2395,                0.63312,                0.80986,                 0.9561,                 0.9473,                0.97227,                0.67711,                 1.0548,                0.52797,                0.78424,               0.005842,               0.005842,               0.005842
                     45,                 1.2491,                0.63278,                0.81172,                0.96194,                0.94784,                0.97284,                 0.6785,                 1.0456,                0.52447,                0.78365,               0.005743,               0.005743,               0.005743
                     46,                 1.2412,                0.61513,                0.81036,                0.94678,                 0.9465,                0.97089,                0.67909,                 1.0636,                0.52805,                0.78341,               0.005644,               0.005644,               0.005644
                     47,                 1.2366,                0.61109,                0.80823,                0.95078,                  0.946,                0.97212,                0.68255,                 1.0515,                0.52004,                0.78255,               0.005545,               0.005545,               0.005545
                     48,                 1.2243,                0.61466,                0.81396,                0.95025,                0.94549,                0.97287,                0.67888,                 1.0424,                 0.5211,                 0.7832,               0.005446,               0.005446,               0.005446
                     49,                 1.2177,                0.60795,                0.80567,                 0.9572,                  0.947,                0.97373,                0.68013,                  1.047,                0.51511,                0.78254,               0.005347,               0.005347,               0.005347
                     50,                 1.2204,                0.60011,                0.80349,                0.95947,                0.95877,                0.97748,                0.69234,                 1.0293,                0.49827,                0.78135,               0.005248,               0.005248,               0.005248
                     51,                 1.2106,                  0.597,                0.80779,                0.95357,                0.95497,                0.97693,                0.69143,                 1.0365,                0.50482,                0.78279,               0.005149,               0.005149,               0.005149
                     52,                 1.1844,                0.59362,                0.80459,                 0.9507,                 0.9449,                0.97336,                0.68859,                  1.036,                0.51063,                0.78236,                0.00505,                0.00505,                0.00505
                     53,                 1.1991,                0.58641,                0.80594,                0.95705,                 0.9535,                 0.9766,                0.69774,                 1.0267,                0.49437,                0.78101,               0.004951,               0.004951,               0.004951
                     54,                 1.2115,                 0.5958,                0.80924,                0.95155,                0.95257,                0.97681,                0.69465,                 1.0298,                0.49717,                0.78145,               0.004852,               0.004852,               0.004852
                     55,                 1.1678,                0.56576,                0.80339,                0.95691,                 0.9555,                0.97935,                0.69511,                 1.0245,                0.49188,                 0.7809,               0.004753,               0.004753,               0.004753
                     56,                 1.1844,                0.58239,                0.80769,                0.96135,                  0.954,                0.97729,                 0.6896,                 1.0185,                0.49659,                0.78025,               0.004654,               0.004654,               0.004654
                     57,                 1.1875,                 0.5835,                0.80262,                0.96104,                  0.944,                0.97698,                0.69989,                 1.0098,                 0.4932,                0.77944,               0.004555,               0.004555,               0.004555
                     58,                 1.1485,                0.56652,                0.79981,                0.96409,                0.95316,                0.97747,                0.70246,                 1.0123,                0.49362,                 0.7799,               0.004456,               0.004456,               0.004456
