                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1159,                 8.9081,                 1.0699,                0.44617,                 0.7505,                 0.4666,                0.19693,                 2.0601,                 1.4514,                0.87973,              0.0033267,              0.0033267,              0.0033267
                      2,                 2.3205,                  1.517,                0.90611,                0.59109,                 0.6855,                0.63356,                 0.2712,                 1.9334,                 1.2749,                0.86445,              0.0065941,              0.0065941,              0.0065941
                      3,                 2.2883,                 1.4623,                0.89961,                0.62533,                 0.6905,                0.64137,                 0.2634,                 1.9878,                  1.335,                0.86983,              0.0097955,              0.0097955,              0.0097955
                      4,                 2.1548,                 1.3761,                 0.8871,                0.70972,                 0.7457,                0.77071,                0.37603,                 1.6669,                 1.1085,                0.84295,               0.009703,               0.009703,               0.009703
                      5,                 2.0114,                 1.2604,                0.87366,                0.74352,                0.73921,                0.77379,                0.36977,                 1.6719,                 1.0823,                0.84974,               0.009703,               0.009703,               0.009703
                      6,                  1.912,                 1.1934,                0.86302,                0.71433,                 0.7915,                0.78689,                0.40764,                 1.6119,                  1.031,                0.83203,               0.009604,               0.009604,               0.009604
                      7,                 1.8341,                 1.1556,                0.85422,                0.74272,                  0.794,                0.80103,                0.43615,                 1.5209,                 1.0005,                0.82767,               0.009505,               0.009505,               0.009505
                      8,                 1.7622,                 1.1062,                0.85107,                0.79096,                0.81541,                0.84654,                 0.4818,                 1.4594,                0.94428,                0.82131,               0.009406,               0.009406,               0.009406
                      9,                 1.7218,                 1.0857,                0.84841,                 0.8088,                0.82067,                 0.8584,                0.49423,                  1.422,                0.92197,                0.82004,               0.009307,               0.009307,               0.009307
                     10,                 1.6853,                 1.0504,                0.84008,                0.81959,                0.80636,                0.86061,                0.47187,                 1.5359,                 0.9552,                0.82311,               0.009208,               0.009208,               0.009208
                     11,                 1.6316,                 1.0061,                0.83818,                0.86747,                  0.834,                 0.8894,                0.52665,                 1.3684,                0.84003,                0.81927,               0.009109,               0.009109,               0.009109
                     12,                 1.5991,                0.99523,                0.83737,                0.85687,                0.82618,                0.89161,                0.51858,                 1.3865,                0.85661,                0.81875,                0.00901,                0.00901,                0.00901
                     13,                  1.568,                0.94228,                0.83461,                0.86197,                 0.8595,                0.90927,                0.54984,                 1.3473,                 0.8166,                0.81457,               0.008911,               0.008911,               0.008911
                     14,                 1.5567,                0.92806,                0.83156,                0.90167,                 0.8775,                0.93104,                0.56468,                 1.3478,                0.78938,                0.81522,               0.008812,               0.008812,               0.008812
                     15,                 1.5322,                0.90735,                0.83251,                0.90706,                  0.876,                0.93189,                0.55792,                 1.3294,                0.77133,                0.81249,               0.008713,               0.008713,               0.008713
                     16,                 1.4857,                0.88376,                0.82431,                0.89461,                  0.863,                0.92247,                0.58305,                 1.2651,                0.77805,                0.81251,               0.008614,               0.008614,               0.008614
                     17,                 1.4886,                0.86606,                0.82599,                0.90451,                0.89511,                0.93593,                0.58547,                 1.2892,                0.74545,                0.81203,               0.008515,               0.008515,               0.008515
                     18,                 1.4834,                0.86725,                0.82578,                0.89508,                0.88293,                0.93308,                0.59432,                 1.2572,                0.73343,                0.80906,               0.008416,               0.008416,               0.008416
                     19,                 1.4603,                0.83634,                0.82916,                  0.916,                0.88868,                0.93873,                0.58732,                 1.2827,                 0.7276,                0.80907,               0.008317,               0.008317,               0.008317
                     20,                 1.4378,                 0.8312,                0.82533,                0.92179,                0.90168,                 0.9487,                 0.6086,                 1.2296,                0.71452,                0.80404,               0.008218,               0.008218,               0.008218
                     21,                 1.4399,                0.82831,                 0.8249,                0.91247,                 0.9035,                0.95261,                0.60473,                 1.2227,                0.69907,                0.80688,               0.008119,               0.008119,               0.008119
                     22,                 1.3939,                0.78583,                0.82013,                0.92232,                 0.9125,                0.95364,                0.61587,                 1.2075,                0.68003,                 0.8028,                0.00802,                0.00802,                0.00802
                     23,                 1.4068,                0.78873,                0.81971,                 0.9309,                0.91615,                0.95447,                0.61563,                 1.2194,                 0.6706,                0.80809,               0.007921,               0.007921,               0.007921
                     24,                 1.3742,                0.77806,                0.81571,                0.93006,                  0.933,                0.96228,                  0.622,                 1.2003,                0.65499,                0.80235,               0.007822,               0.007822,               0.007822
                     25,                  1.385,                 0.7829,                0.82097,                0.93629,                0.91851,                0.95854,                0.62427,                 1.1916,                 0.6618,                 0.8045,               0.007723,               0.007723,               0.007723
                     26,                 1.3664,                0.76283,                0.81657,                0.92967,                0.93186,                0.95729,                0.62192,                 1.1836,                0.65283,                0.80226,               0.007624,               0.007624,               0.007624
                     27,                 1.3509,                0.75269,                0.81669,                 0.9437,                0.93036,                0.96187,                0.63748,                 1.1429,                0.62834,                 0.8019,               0.007525,               0.007525,               0.007525
                     28,                 1.3636,                0.76243,                0.81928,                0.94939,                0.91909,                0.96223,                0.63272,                 1.1614,                0.62905,                0.80219,               0.007426,               0.007426,               0.007426
                     29,                 1.3504,                0.73831,                0.81715,                0.94807,                0.93113,                0.96552,                0.64062,                 1.1442,                0.60895,                0.80039,               0.007327,               0.007327,               0.007327
                     30,                  1.319,                0.72784,                0.81226,                0.95119,                0.93549,                0.96909,                0.64459,                   1.14,                0.62849,                0.80054,               0.007228,               0.007228,               0.007228
                     31,                 1.3442,                0.72634,                0.81365,                0.94009,                0.93367,                0.96733,                0.64928,                 1.1397,                0.61808,                0.79907,               0.007129,               0.007129,               0.007129
                     32,                 1.3267,                0.71896,                0.81855,                0.95145,                 0.9375,                0.96855,                0.64998,                 1.1245,                0.59811,                0.79975,                0.00703,                0.00703,                0.00703
                     33,                 1.3147,                0.72865,                0.81543,                0.95228,                0.93782,                0.96621,                0.64794,                 1.1215,                0.59856,                0.79791,               0.006931,               0.006931,               0.006931
                     34,                  1.317,                0.71806,                0.81227,                0.95453,                0.93413,                 0.9673,                0.64347,                 1.1341,                0.60371,                0.80027,               0.006832,               0.006832,               0.006832
                     35,                 1.2875,                0.69703,                0.81403,                0.94966,                 0.9315,                0.96637,                0.65635,                 1.0959,                0.58482,                0.79748,               0.006733,               0.006733,               0.006733
                     36,                 1.2965,                 0.7015,                0.81302,                0.95109,                 0.9445,                0.97309,                0.66145,                 1.0928,                0.58759,                0.79596,               0.006634,               0.006634,               0.006634
                     37,                 1.2871,                0.69043,                0.81278,                0.95444,                 0.9385,                0.96795,                0.65534,                 1.1014,                0.58619,                0.79639,               0.006535,               0.006535,               0.006535
                     38,                 1.2715,                0.67495,                0.80762,                0.95008,                0.94213,                0.96968,                0.66418,                 1.0846,                0.58326,                0.79637,               0.006436,               0.006436,               0.006436
                     39,                 1.2708,                0.67343,                0.80427,                0.95051,                0.94104,                0.97496,                0.66828,                 1.0872,                0.56576,                 0.7946,               0.006337,               0.006337,               0.006337
                     40,                 1.2754,                0.69001,                 0.8093,                0.95165,                 0.9425,                0.97158,                0.66522,                 1.0807,                0.56837,                0.79551,               0.006238,               0.006238,               0.006238
                     41,                 1.2535,                0.66398,                0.80705,                0.95773,                  0.943,                 0.9759,                0.66974,                 1.0717,                0.56462,                0.79437,               0.006139,               0.006139,               0.006139
                     42,                 1.2403,                0.66531,                0.81046,                0.95879,                0.94229,                0.97452,                0.66703,                 1.0785,                0.57507,                 0.7954,                0.00604,                0.00604,                0.00604
                     43,                 1.2322,                0.65149,                0.80892,                0.95721,                 0.9475,                0.97564,                0.67335,                 1.0635,                0.55626,                0.79541,               0.005941,               0.005941,               0.005941
