                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1748,                0.81857,                0.80611,                 0.7544,                  0.834,                0.85184,                0.58031,                 1.0768,                0.84748,                0.83534,             0.00048074,             0.00048074,             0.00048074
                     36,                 1.1552,                0.78708,                0.80861,                0.76448,                0.82772,                0.85178,                0.58209,                 1.0538,                0.84166,                0.83316,             0.00047367,             0.00047367,             0.00047367
                     37,                 1.1202,                 0.8148,                0.81091,                0.74976,                  0.841,                0.85284,                0.58312,                 1.0603,                0.83763,                0.83284,              0.0004666,              0.0004666,              0.0004666
                     38,                 1.1546,                0.79951,                0.81222,                0.75272,                0.84319,                0.85676,                0.59999,                 1.0271,                0.81777,                0.82945,             0.00045953,             0.00045953,             0.00045953
                     39,                 1.1422,                0.78418,                0.80967,                0.77106,                  0.813,                0.85634,                0.59766,                 1.0342,                0.82011,                0.83057,             0.00045246,             0.00045246,             0.00045246
                     40,                 1.1268,                0.77388,                0.80467,                0.76731,                0.82767,                0.85466,                0.58014,                  1.075,                 0.8327,                0.83236,             0.00044539,             0.00044539,             0.00044539
                     41,                  1.129,                0.79099,                0.80856,                0.77286,                  0.821,                0.85418,                0.58898,                 1.0551,                0.82682,                0.83238,             0.00043832,             0.00043832,             0.00043832
                     42,                  1.112,                0.76676,                0.80322,                0.78688,                0.81597,                0.85882,                0.60143,                 1.0393,                0.82029,                0.83229,             0.00043126,             0.00043126,             0.00043126
                     43,                 1.1057,                 0.7574,                0.80567,                0.79023,                0.80991,                0.85435,                  0.568,                 1.1263,                0.84584,                0.83457,             0.00042419,             0.00042419,             0.00042419
                     44,                   1.11,                0.77115,                0.80718,                0.78928,                0.82404,                0.86841,                0.60368,                 1.0644,                0.82299,                0.83263,             0.00041712,             0.00041712,             0.00041712
                     45,                 1.0822,                0.73704,                0.80357,                 0.7741,                  0.826,                0.85048,                0.59223,                 1.0399,                0.83792,                  0.831,             0.00041005,             0.00041005,             0.00041005
                     46,                 1.0935,                0.74802,                0.80636,                0.75981,                   0.85,                0.87097,                0.60405,                  1.034,                0.81309,                0.82986,             0.00040298,             0.00040298,             0.00040298
                     47,                 1.0629,                0.73662,                0.79992,                0.77543,                  0.837,                0.87012,                0.59992,                 1.0492,                0.80473,                0.83171,             0.00039591,             0.00039591,             0.00039591
                     48,                 1.0714,                0.75226,                0.80517,                0.77986,                  0.834,                0.87009,                0.60632,                 1.0307,                0.80639,                0.83028,             0.00038884,             0.00038884,             0.00038884
                     49,                 1.0685,                0.73863,                0.80136,                0.79957,                0.82576,                0.87445,                0.61162,                 1.0264,                0.80257,                 0.8307,             0.00038178,             0.00038178,             0.00038178
                     50,                 1.0497,                 0.7344,                 0.8006,                0.74236,                   0.85,                0.85763,                0.60225,                  1.014,                0.81557,                   0.83,             0.00037471,             0.00037471,             0.00037471
                     51,                 1.0313,                 0.6944,                 0.7975,                0.79442,                 0.8115,                0.86607,                0.61415,                   1.01,                0.81002,                0.83007,             0.00036764,             0.00036764,             0.00036764
                     52,                 1.0366,                0.70836,                  0.803,                0.77962,                0.83839,                0.86812,                0.60588,                 1.0284,                0.79579,                0.83107,             0.00036057,             0.00036057,             0.00036057
                     53,                 1.0497,                0.71148,                0.79733,                 0.7987,                  0.828,                0.87361,                 0.6068,                 1.0448,                0.82336,                0.83031,              0.0003535,              0.0003535,              0.0003535
                     54,                  1.011,                0.69785,                0.79751,                 0.8235,                  0.819,                0.87617,                0.61839,                 1.0086,                0.80215,                0.82932,             0.00034643,             0.00034643,             0.00034643
                     55,                 1.0246,                0.69848,                0.79952,                0.79927,                0.83222,                0.87671,                0.62581,                0.98493,                0.77965,                0.82746,             0.00033936,             0.00033936,             0.00033936
                     56,                 1.0267,                0.67129,                0.79733,                0.80199,                  0.832,                0.86192,                0.61465,                 0.9736,                0.80555,                0.82764,              0.0003323,              0.0003323,              0.0003323
                     57,                  1.012,                0.67819,                0.79806,                 0.7802,                  0.857,                0.86734,                0.61976,                0.99853,                0.79583,                0.82917,             0.00032523,             0.00032523,             0.00032523
                     58,                 1.0194,                0.67341,                0.79392,                0.78928,                  0.854,                 0.8786,                0.62639,                0.99117,                0.78822,                0.82823,             0.00031816,             0.00031816,             0.00031816
                     59,                 1.0085,                0.66541,                0.80183,                0.80211,                0.82685,                 0.8717,                 0.6238,                0.99254,                0.77162,                0.82803,             0.00031109,             0.00031109,             0.00031109
                     60,                0.98081,                0.64644,                 0.7982,                0.78879,                0.84405,                0.87124,                0.62056,                0.99111,                0.79688,                0.82909,             0.00030402,             0.00030402,             0.00030402
                     61,                 1.0042,                0.65036,                0.79385,                0.79247,                0.83629,                0.87334,                0.62573,                0.98999,                 0.7856,                0.82757,             0.00029695,             0.00029695,             0.00029695
                     62,                0.98754,                0.65624,                 0.7939,                0.79334,                  0.839,                0.87174,                0.61433,                 1.0022,                0.79246,                0.82803,             0.00028988,             0.00028988,             0.00028988
