                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1304,                 9.1252,                 1.0654,                0.45655,                 0.6845,                0.47543,                0.17747,                 2.1281,                 1.4068,                0.88763,              0.0033267,              0.0033267,              0.0033267
                      2,                 2.3596,                 1.4959,                0.91002,                0.56615,                   0.76,                0.62266,                0.25351,                 1.9886,                 1.2345,                 0.8596,              0.0065941,              0.0065941,              0.0065941
                      3,                  2.294,                 1.4385,                0.90465,                0.65673,                 0.6476,                0.66317,                0.28368,                 1.9407,                 1.3169,                0.86714,              0.0097955,              0.0097955,              0.0097955
                      4,                 2.1878,                 1.3459,                0.88999,                 0.7142,                0.75094,                0.76191,                0.34445,                 1.8044,                 1.1151,                0.85046,               0.009703,               0.009703,               0.009703
                      5,                      2,                 1.2099,                0.87059,                0.74148,                0.74859,                0.77633,                0.41268,                 1.6382,                 1.0571,                0.84021,               0.009703,               0.009703,               0.009703
                      6,                 1.8962,                 1.1557,                0.86641,                0.76722,                  0.797,                0.82968,                0.44252,                  1.589,                0.97479,                0.83885,               0.009604,               0.009604,               0.009604
                      7,                 1.8071,                 1.0995,                0.85563,                0.79651,                  0.778,                0.82853,                0.45391,                 1.5805,                 0.9419,                0.82471,               0.009505,               0.009505,               0.009505
                      8,                 1.7554,                  1.046,                0.85457,                0.83815,                  0.813,                0.86727,                0.48936,                 1.4337,                0.86147,                0.82008,               0.009406,               0.009406,               0.009406
                      9,                 1.7046,                0.99909,                0.84958,                0.81669,                0.79971,                0.84883,                 0.4865,                  1.457,                0.89991,                 0.8224,               0.009307,               0.009307,               0.009307
                     10,                  1.654,                0.95972,                0.83991,                 0.8643,                  0.843,                0.89863,                0.53485,                 1.3725,                0.81246,                0.81154,               0.009208,               0.009208,               0.009208
                     11,                 1.6226,                0.93566,                0.83742,                0.88367,                  0.854,                0.90677,                0.54052,                 1.3826,                0.77134,                0.81245,               0.009109,               0.009109,               0.009109
                     12,                 1.5944,                0.91301,                0.83879,                 0.8866,                 0.8585,                0.90892,                0.54109,                 1.3453,                0.76236,                 0.8111,                0.00901,                0.00901,                0.00901
                     13,                 1.5728,                0.88769,                0.82918,                0.89724,                 0.8785,                0.92605,                0.55047,                 1.3752,                0.74395,                0.81022,               0.008911,               0.008911,               0.008911
                     14,                 1.5506,                0.85478,                0.82997,                0.91337,                  0.864,                0.93273,                0.56201,                 1.3297,                0.73561,                0.80567,               0.008812,               0.008812,               0.008812
                     15,                 1.5258,                0.85482,                0.83394,                0.90508,                 0.8955,                 0.9391,                0.58537,                 1.3003,                0.68529,                0.80544,               0.008713,               0.008713,               0.008713
                     16,                 1.4982,                0.84195,                 0.8275,                0.92531,                0.88576,                0.94534,                0.58417,                 1.2856,                0.67038,                0.80434,               0.008614,               0.008614,               0.008614
                     17,                 1.4765,                  0.814,                0.82537,                0.90771,                0.88514,                0.93938,                0.59363,                 1.2622,                0.68696,                0.80184,               0.008515,               0.008515,               0.008515
                     18,                 1.4646,                0.79956,                0.82576,                0.90347,                0.89855,                 0.9459,                0.59928,                 1.2481,                0.67275,                0.80355,               0.008416,               0.008416,               0.008416
                     19,                 1.4581,                0.78961,                0.82454,                0.92307,                  0.891,                0.94861,                0.59252,                 1.2789,                0.66353,                0.79853,               0.008317,               0.008317,               0.008317
                     20,                 1.4505,                0.77811,                0.82735,                0.91773,                0.90357,                0.95148,                0.59741,                 1.2851,                0.64892,                0.80187,               0.008218,               0.008218,               0.008218
                     21,                 1.4248,                0.77196,                0.82019,                0.92056,                0.91552,                0.95632,                0.61789,                 1.2153,                0.63298,                0.79737,               0.008119,               0.008119,               0.008119
                     22,                 1.4173,                0.75633,                0.82319,                 0.9362,                 0.9015,                0.94856,                0.60493,                 1.2173,                0.64834,                0.79466,                0.00802,                0.00802,                0.00802
                     23,                 1.4055,                0.75232,                0.82288,                0.93813,                0.91741,                0.95824,                0.62664,                 1.1908,                0.62478,                0.79429,               0.007921,               0.007921,               0.007921
                     24,                  1.394,                0.74868,                0.81946,                0.93917,                0.90312,                0.95418,                0.62756,                 1.1915,                0.63227,                0.79385,               0.007822,               0.007822,               0.007822
                     25,                 1.3705,                0.72724,                0.81707,                0.93293,                0.92493,                0.96077,                0.62007,                 1.2213,                0.60691,                0.79698,               0.007723,               0.007723,               0.007723
                     26,                 1.3679,                0.72239,                0.82116,                0.93893,                0.91483,                0.96195,                0.63217,                 1.1769,                0.59917,                 0.7929,               0.007624,               0.007624,               0.007624
                     27,                 1.3667,                0.72675,                0.81721,                 0.9314,                0.92323,                0.95766,                0.63824,                 1.1533,                0.59735,                0.79217,               0.007525,               0.007525,               0.007525
                     28,                 1.3386,                0.71071,                0.81571,                0.93664,                0.92398,                0.96539,                0.64169,                 1.1678,                0.58556,                0.79178,               0.007426,               0.007426,               0.007426
                     29,                 1.3572,                0.71917,                0.81734,                0.92925,                 0.9265,                0.96129,                0.63127,                  1.179,                0.59822,                0.79322,               0.007327,               0.007327,               0.007327
                     30,                 1.3444,                 0.6908,                0.81484,                0.94234,                 0.9115,                0.96219,                0.64005,                 1.1636,                0.58348,                0.79375,               0.007228,               0.007228,               0.007228
                     31,                 1.3319,                0.69992,                0.81908,                0.94405,                  0.924,                0.96524,                0.63994,                 1.1458,                 0.5825,                0.79121,               0.007129,               0.007129,               0.007129
                     32,                 1.3387,                0.69114,                0.81829,                0.94524,                 0.9305,                0.96923,                0.64998,                 1.1267,                0.56422,                0.78916,                0.00703,                0.00703,                0.00703
                     33,                 1.3045,                0.68185,                 0.8113,                0.94883,                0.92711,                0.96986,                0.65701,                 1.1229,                0.55896,                0.78857,               0.006931,               0.006931,               0.006931
                     34,                 1.3007,                 0.6804,                0.81022,                0.95062,                0.93359,                0.96999,                0.65075,                 1.1341,                0.55742,                0.78986,               0.006832,               0.006832,               0.006832
                     35,                 1.2867,                0.65909,                0.81036,                0.95207,                  0.944,                 0.9721,                0.65516,                 1.1301,                0.55572,                0.79016,               0.006733,               0.006733,               0.006733
                     36,                 1.2982,                0.67478,                0.81709,                0.94862,                 0.9295,                0.96799,                0.66128,                 1.1015,                0.54842,                0.78677,               0.006634,               0.006634,               0.006634
                     37,                 1.2958,                0.65652,                0.81517,                  0.953,                 0.9245,                0.96983,                0.65752,                 1.1135,                0.54855,                0.78708,               0.006535,               0.006535,               0.006535
                     38,                 1.2785,                0.64453,                0.80976,                0.95284,                 0.9385,                0.96883,                0.66804,                 1.0872,                0.53738,                0.78619,               0.006436,               0.006436,               0.006436
