                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.20445,                  0.765,                      1,                 0.4036,             0.00023641,             0.00023641,             0.00023641
                      2,                0.07346,                0.91833,                      1,                0.32415,             0.00046972,             0.00046972,             0.00046972
                      3,                0.05011,                0.93833,                      1,                0.30956,             0.00069831,             0.00069831,             0.00069831
                      4,                0.03724,                0.92667,                      1,                0.31503,             0.00069279,             0.00069279,             0.00069279
                      5,                0.03015,                0.96667,                      1,                0.29277,             0.00069279,             0.00069279,             0.00069279
                      6,                0.01651,                0.94833,                      1,                0.30135,             0.00068573,             0.00068573,             0.00068573
                      7,                0.01955,                0.96333,                      1,                0.29797,             0.00067866,             0.00067866,             0.00067866
                      8,                0.01004,                0.88833,                      1,                0.33689,             0.00067159,             0.00067159,             0.00067159
                      9,                0.01934,                   0.94,                      1,                0.30336,             0.00066452,             0.00066452,             0.00066452
                     10,                 0.0121,                  0.965,                      1,                0.29267,             0.00065745,             0.00065745,             0.00065745
                     11,                0.00807,                0.96667,                      1,                0.28828,             0.00065038,             0.00065038,             0.00065038
                     12,                0.00603,                0.97667,                      1,                0.28739,             0.00064331,             0.00064331,             0.00064331
                     13,                0.00906,                0.96333,                      1,                0.29131,             0.00063625,             0.00063625,             0.00063625
                     14,                 0.0049,                0.96667,                      1,                0.28829,             0.00062918,             0.00062918,             0.00062918
                     15,                0.00512,                0.96333,                      1,                0.29109,             0.00062211,             0.00062211,             0.00062211
                     16,                0.00616,                0.97667,                      1,                 0.2854,             0.00061504,             0.00061504,             0.00061504
                     17,                0.00845,                0.97167,                      1,                0.28787,             0.00060797,             0.00060797,             0.00060797
                     18,                0.00386,                0.96833,                      1,                0.28784,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00304,                   0.97,                      1,                0.28617,             0.00059383,             0.00059383,             0.00059383
                     20,                0.00253,                0.97667,                      1,                0.28484,             0.00058677,             0.00058677,             0.00058677
                     21,                0.00207,                0.97333,                      1,                0.28525,              0.0005797,              0.0005797,              0.0005797
                     22,                0.00177,                0.97167,                      1,                0.28679,             0.00057263,             0.00057263,             0.00057263
                     23,                0.00244,                  0.975,                      1,                0.28564,             0.00056556,             0.00056556,             0.00056556
                     24,                0.00161,                0.97167,                      1,                0.28668,             0.00055849,             0.00055849,             0.00055849
                     25,                0.00189,                0.96833,                      1,                0.28679,             0.00055142,             0.00055142,             0.00055142
                     26,                0.00099,                0.97167,                      1,                0.28646,             0.00054435,             0.00054435,             0.00054435
                     27,                 0.0007,                  0.975,                      1,                0.28474,             0.00053728,             0.00053728,             0.00053728
                     28,                0.00094,                0.97167,                      1,                0.28678,             0.00053022,             0.00053022,             0.00053022
                     29,                0.00375,                0.95833,                      1,                0.29416,             0.00052315,             0.00052315,             0.00052315
                     30,                0.00399,                0.96333,                      1,                0.29215,             0.00051608,             0.00051608,             0.00051608
                     31,                0.00777,                   0.96,                      1,                0.29377,             0.00050901,             0.00050901,             0.00050901
                     32,                 0.0128,                0.97167,                      1,                0.28688,             0.00050194,             0.00050194,             0.00050194
                     33,                0.00487,                0.96167,                      1,                0.29138,             0.00049487,             0.00049487,             0.00049487
                     34,                0.00251,                0.97167,                      1,                0.28606,              0.0004878,              0.0004878,              0.0004878
                     35,                0.00179,                0.97333,                      1,                0.28592,             0.00048074,             0.00048074,             0.00048074
                     36,                 0.0018,                  0.975,                      1,                0.28456,             0.00047367,             0.00047367,             0.00047367
                     37,                 0.0017,                0.97167,                      1,                0.28696,              0.0004666,              0.0004666,              0.0004666
                     38,                0.00135,                0.97167,                      1,                0.28586,             0.00045953,             0.00045953,             0.00045953
                     39,                0.00109,                0.97333,                      1,                 0.2845,             0.00045246,             0.00045246,             0.00045246
                     40,                0.00089,                0.97833,                      1,                0.28354,             0.00044539,             0.00044539,             0.00044539
                     41,                0.00063,                0.97833,                      1,                0.28341,             0.00043832,             0.00043832,             0.00043832
                     42,                0.00056,                   0.98,                      1,                0.28287,             0.00043126,             0.00043126,             0.00043126
                     43,                0.00038,                   0.98,                      1,                0.28268,             0.00042419,             0.00042419,             0.00042419
                     44,                 0.0005,                   0.98,                      1,                0.28325,             0.00041712,             0.00041712,             0.00041712
                     45,                0.00044,                   0.98,                      1,                0.28306,             0.00041005,             0.00041005,             0.00041005
                     46,                0.00037,                   0.98,                      1,                0.28345,             0.00040298,             0.00040298,             0.00040298
                     47,                0.00023,                  0.975,                      1,                0.28352,             0.00039591,             0.00039591,             0.00039591
                     48,                0.00018,                  0.975,                      1,                0.28346,             0.00038884,             0.00038884,             0.00038884
                     49,                0.00015,                  0.975,                      1,                0.28352,             0.00038178,             0.00038178,             0.00038178
                     50,                0.00012,                  0.975,                      1,                 0.2835,             0.00037471,             0.00037471,             0.00037471
                     51,                0.00015,                0.97667,                      1,                0.28354,             0.00036764,             0.00036764,             0.00036764
                     52,                0.00011,                  0.975,                      1,                0.28366,             0.00036057,             0.00036057,             0.00036057
                     53,                  7e-05,                0.97667,                      1,                0.28342,              0.0003535,              0.0003535,              0.0003535
                     54,                0.00014,                  0.975,                      1,                0.28396,             0.00034643,             0.00034643,             0.00034643
                     55,                0.00024,                0.97667,                      1,                0.28388,             0.00033936,             0.00033936,             0.00033936
                     56,                0.00042,                0.97833,                      1,                0.28325,              0.0003323,              0.0003323,              0.0003323
                     57,                0.00026,                   0.98,                      1,                0.28315,             0.00032523,             0.00032523,             0.00032523
                     58,                0.00023,                0.97667,                      1,                0.28341,             0.00031816,             0.00031816,             0.00031816
                     59,                0.00041,                   0.98,                      1,                0.28288,             0.00031109,             0.00031109,             0.00031109
                     60,                 0.0007,                   0.98,                      1,                0.28288,             0.00030402,             0.00030402,             0.00030402
                     61,                0.00164,                   0.98,                      1,                0.28264,             0.00029695,             0.00029695,             0.00029695
                     62,                0.00207,                0.97333,                      1,                0.28381,             0.00028988,             0.00028988,             0.00028988
                     63,                0.00039,                   0.98,                      1,                0.28275,             0.00028282,             0.00028282,             0.00028282
                     64,                0.00097,                0.97667,                      1,                0.28368,             0.00027575,             0.00027575,             0.00027575
                     65,                0.00022,                  0.975,                      1,                0.28471,             0.00026868,             0.00026868,             0.00026868
                     66,                0.00015,                  0.975,                      1,                0.28417,             0.00026161,             0.00026161,             0.00026161
                     67,                 0.0001,                0.97667,                      1,                0.28391,             0.00025454,             0.00025454,             0.00025454
                     68,                  9e-05,                  0.975,                      1,                0.28382,             0.00024747,             0.00024747,             0.00024747
                     69,                0.00011,                0.97667,                      1,                0.28365,              0.0002404,              0.0002404,              0.0002404
                     70,                  8e-05,                0.97833,                      1,                0.28343,             0.00023334,             0.00023334,             0.00023334
                     71,                  8e-05,                0.97833,                      1,                0.28327,             0.00022627,             0.00022627,             0.00022627
                     72,                  7e-05,                0.97833,                      1,                0.28316,              0.0002192,              0.0002192,              0.0002192
                     73,                  7e-05,                0.97833,                      1,                0.28311,             0.00021213,             0.00021213,             0.00021213
                     74,                  6e-05,                0.97833,                      1,                0.28304,             0.00020506,             0.00020506,             0.00020506
                     75,                  6e-05,                0.97833,                      1,                0.28305,             0.00019799,             0.00019799,             0.00019799
                     76,                  7e-05,                0.97833,                      1,                0.28301,             0.00019092,             0.00019092,             0.00019092
                     77,                  5e-05,                0.97833,                      1,                0.28298,             0.00018385,             0.00018385,             0.00018385
                     78,                  7e-05,                0.97833,                      1,                0.28298,             0.00017679,             0.00017679,             0.00017679
                     79,                  5e-05,                0.97833,                      1,                 0.2828,             0.00016972,             0.00016972,             0.00016972
                     80,                  5e-05,                   0.98,                      1,                0.28271,             0.00016265,             0.00016265,             0.00016265
                     81,                  6e-05,                0.97833,                      1,                0.28282,             0.00015558,             0.00015558,             0.00015558
                     82,                  5e-05,                0.97833,                      1,                0.28271,             0.00014851,             0.00014851,             0.00014851
                     83,                  5e-05,                0.97833,                      1,                0.28273,             0.00014144,             0.00014144,             0.00014144
                     84,                  4e-05,                0.97833,                      1,                0.28266,             0.00013437,             0.00013437,             0.00013437
                     85,                  5e-05,                0.97833,                      1,                0.28271,             0.00012731,             0.00012731,             0.00012731
                     86,                  5e-05,                0.97833,                      1,                0.28269,             0.00012024,             0.00012024,             0.00012024
                     87,                  4e-05,                0.97833,                      1,                0.28268,             0.00011317,             0.00011317,             0.00011317
                     88,                  5e-05,                0.97833,                      1,                 0.2827,              0.0001061,              0.0001061,              0.0001061
                     89,                  4e-05,                0.97833,                      1,                0.28262,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                  4e-05,                0.97833,                      1,                 0.2826,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                  4e-05,                0.97833,                      1,                0.28261,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                  3e-05,                0.97833,                      1,                0.28261,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                  4e-05,                0.97833,                      1,                0.28255,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                  4e-05,                   0.98,                      1,                0.28252,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                  3e-05,                0.97833,                      1,                0.28257,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                  4e-05,                0.97833,                      1,                0.28255,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                  3e-05,                   0.98,                      1,                0.28251,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                  3e-05,                0.97833,                      1,                0.28256,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                  3e-05,                0.97833,                      1,                0.28248,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                  4e-05,                   0.98,                      1,                0.28252,             2.1277e-05,             2.1277e-05,             2.1277e-05
