                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0035,                 11.611,                  1.107,                0.47993,                  0.752,                0.49563,                0.21584,                 1.9854,                 1.4651,                0.92779,             0.00023705,             0.00023705,             0.00023705
                      2,                 2.1819,                 1.6976,                0.92565,                 0.4798,                  0.787,                0.51381,                0.23963,                 1.8824,                 1.3638,                0.91459,             0.00047035,             0.00047035,             0.00047035
                      3,                 1.9749,                 1.4482,                0.89961,                0.49041,                  0.847,                0.51707,                 0.2604,                  1.665,                 1.3098,                0.87895,             0.00069893,             0.00069893,             0.00069893
                      4,                  1.875,                 1.3919,                0.88689,                0.49271,                  0.817,                0.53784,                0.27586,                 1.5803,                 1.3132,                0.87453,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.7744,                 1.3344,                0.87449,                0.49626,                0.85609,                0.55096,                0.30378,                 1.5263,                 1.2151,                0.87533,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.6566,                  1.282,                0.85595,                0.52414,                0.84922,                0.57543,                 0.3275,                 1.4405,                  1.179,                0.85876,             0.00068573,             0.00068573,             0.00068573
                      7,                  1.638,                 1.2296,                0.85823,                0.53049,                  0.823,                 0.6304,                0.35315,                 1.4741,                 1.1723,                0.86831,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.6022,                 1.1775,                0.85121,                0.57579,                0.81846,                0.66483,                0.39494,                 1.4163,                 1.1109,                0.86522,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.5721,                 1.1762,                0.85395,                0.63395,                  0.791,                0.74543,                0.46915,                  1.264,                 1.0434,                0.85139,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.5173,                 1.1122,                0.84362,                0.67386,                0.79549,                0.75763,                0.49217,                 1.2533,                  1.026,                0.85187,             0.00065745,             0.00065745,             0.00065745
                     11,                  1.441,                 1.0776,                  0.834,                0.66774,                  0.791,                0.75978,                0.48166,                 1.2519,                 1.0022,                0.85099,             0.00065038,             0.00065038,             0.00065038
                     12,                  1.423,                 1.0545,                0.83102,                0.69431,                   0.79,                0.77999,                0.48509,                 1.3353,                 1.0042,                0.85245,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.4247,                  1.019,                0.83702,                0.67121,                0.82679,                 0.7876,                0.51813,                 1.2113,                0.96272,                0.84794,             0.00063625,             0.00063625,             0.00063625
                     14,                    1.4,                 1.0386,                0.82999,                0.69256,                   0.84,                0.81012,                0.51829,                 1.2053,                 0.9377,                0.84749,             0.00062918,             0.00062918,             0.00062918
                     15,                 1.3835,                  1.021,                0.82813,                 0.7256,                  0.778,                 0.7764,                0.50659,                  1.151,                0.93772,                0.84215,             0.00062211,             0.00062211,             0.00062211
                     16,                   1.35,                0.98016,                0.82852,                0.69656,                  0.818,                0.80106,                0.54158,                 1.1352,                0.93495,                0.83728,             0.00061504,             0.00061504,             0.00061504
                     17,                 1.3464,                0.96051,                0.82475,                0.73693,                0.83197,                 0.8277,                 0.5463,                  1.145,                0.88376,                 0.8439,             0.00060797,             0.00060797,             0.00060797
                     18,                 1.3151,                0.95667,                0.82867,                0.72016,                   0.82,                0.81477,                0.53983,                 1.1737,                0.90746,                0.84505,              0.0006009,              0.0006009,              0.0006009
                     19,                  1.298,                0.92446,                0.82091,                0.73053,                  0.813,                0.82164,                0.53961,                 1.2006,                0.90656,                0.84591,             0.00059383,             0.00059383,             0.00059383
                     20,                 1.3266,                0.93439,                0.82128,                0.72722,                0.84509,                0.83979,                 0.5601,                 1.1103,                0.87574,                0.84045,             0.00058677,             0.00058677,             0.00058677
                     21,                 1.2831,                0.94479,                0.81886,                0.74249,                  0.804,                0.82505,                0.55155,                  1.132,                0.88203,                0.84192,              0.0005797,              0.0005797,              0.0005797
                     22,                 1.2842,                0.91982,                0.81507,                0.75977,                0.80967,                0.83442,                0.54698,                 1.1585,                0.91433,                0.84267,             0.00057263,             0.00057263,             0.00057263
                     23,                  1.272,                 0.9045,                0.81994,                0.75715,                0.81997,                0.83633,                 0.5741,                  1.066,                0.85222,                  0.837,             0.00056556,             0.00056556,             0.00056556
                     24,                 1.3104,                0.91478,                0.81795,                0.74905,                    0.8,                0.84195,                0.58449,                 1.0724,                0.85512,                0.83881,             0.00055849,             0.00055849,             0.00055849
                     25,                 1.2538,                0.87907,                0.81597,                0.76018,                0.82099,                 0.8484,                0.57627,                 1.1122,                0.86579,                0.83895,             0.00055142,             0.00055142,             0.00055142
                     26,                 1.2346,                0.90493,                0.81267,                0.73268,                  0.856,                0.86039,                0.59169,                  1.086,                0.82561,                 0.8383,             0.00054435,             0.00054435,             0.00054435
