                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.06232,                   0.85,                      1,                0.11984,              0.0002375,              0.0002375,              0.0002375
                      2,                0.03084,                0.92167,                      1,                0.10378,              0.0004708,              0.0004708,              0.0004708
                      3,                0.02028,                  0.925,                      1,                0.10116,             0.00069938,             0.00069938,             0.00069938
                      4,                0.01623,                  0.945,                      1,                0.09952,             0.00069279,             0.00069279,             0.00069279
                      5,                0.01613,                  0.945,                      1,                0.09865,             0.00069279,             0.00069279,             0.00069279
                      6,                0.01406,                   0.96,                      1,                0.09507,             0.00068573,             0.00068573,             0.00068573
                      7,                0.00914,                0.95833,                      1,                0.09363,             0.00067866,             0.00067866,             0.00067866
                      8,                0.00695,                   0.95,                      1,                0.09592,             0.00067159,             0.00067159,             0.00067159
                      9,                0.00604,                0.95833,                      1,                 0.0932,             0.00066452,             0.00066452,             0.00066452
                     10,                0.00784,                  0.955,                      1,                0.09397,             0.00065745,             0.00065745,             0.00065745
                     11,                0.00438,                0.96167,                      1,                0.09279,             0.00065038,             0.00065038,             0.00065038
                     12,                0.00609,                0.96333,                      1,                0.09245,             0.00064331,             0.00064331,             0.00064331
                     13,                0.00621,                0.96333,                      1,                0.09321,             0.00063625,             0.00063625,             0.00063625
                     14,                0.00638,                0.96833,                      1,                0.09161,             0.00062918,             0.00062918,             0.00062918
                     15,                0.00227,                0.97833,                      1,                 0.0908,             0.00062211,             0.00062211,             0.00062211
                     16,                0.00368,                   0.97,                      1,                0.09136,             0.00061504,             0.00061504,             0.00061504
                     17,                0.00233,                0.97167,                      1,                0.09076,             0.00060797,             0.00060797,             0.00060797
                     18,                0.00128,                   0.97,                      1,                0.09084,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00125,                  0.965,                      1,                0.09127,             0.00059383,             0.00059383,             0.00059383
                     20,                0.00174,                0.97833,                      1,                0.08998,             0.00058677,             0.00058677,             0.00058677
                     21,                0.00337,                  0.965,                      1,                0.09204,              0.0005797,              0.0005797,              0.0005797
                     22,                0.00171,                0.97667,                      1,                 0.0907,             0.00057263,             0.00057263,             0.00057263
                     23,                 0.0016,                0.96833,                      1,                0.09099,             0.00056556,             0.00056556,             0.00056556
                     24,                0.00074,                0.97333,                      1,                0.09032,             0.00055849,             0.00055849,             0.00055849
                     25,                0.00088,                0.96333,                      1,                0.09168,             0.00055142,             0.00055142,             0.00055142
                     26,                0.00082,                   0.96,                      1,                 0.0921,             0.00054435,             0.00054435,             0.00054435
                     27,                0.00136,                0.97333,                      1,                0.09042,             0.00053728,             0.00053728,             0.00053728
                     28,                0.00075,                0.96833,                      1,                0.09097,             0.00053022,             0.00053022,             0.00053022
                     29,                 0.0018,                   0.97,                      1,                0.09139,             0.00052315,             0.00052315,             0.00052315
                     30,                0.00075,                0.96833,                      1,                0.09104,             0.00051608,             0.00051608,             0.00051608
                     31,                0.00104,                0.97833,                      1,                0.09018,             0.00050901,             0.00050901,             0.00050901
                     32,                0.00118,                0.97167,                      1,                0.09073,             0.00050194,             0.00050194,             0.00050194
                     33,                0.00221,                0.96833,                      1,                0.09116,             0.00049487,             0.00049487,             0.00049487
                     34,                0.00232,                0.95833,                      1,                0.09301,              0.0004878,              0.0004878,              0.0004878
                     35,                0.00136,                  0.965,                      1,                0.09158,             0.00048074,             0.00048074,             0.00048074
                     36,                0.00183,                0.96167,                      1,                0.09243,             0.00047367,             0.00047367,             0.00047367
                     37,                 0.0005,                0.97167,                      1,                0.09085,              0.0004666,              0.0004666,              0.0004666
                     38,                0.00029,                  0.975,                      1,                0.09048,             0.00045953,             0.00045953,             0.00045953
                     39,                0.00029,                0.97333,                      1,                0.09036,             0.00045246,             0.00045246,             0.00045246
                     40,                0.00027,                0.97333,                      1,                0.09026,             0.00044539,             0.00044539,             0.00044539
                     41,                0.00025,                0.97333,                      1,                0.09025,             0.00043832,             0.00043832,             0.00043832
                     42,                0.00024,                0.97333,                      1,                0.09025,             0.00043126,             0.00043126,             0.00043126
                     43,                0.00027,                  0.975,                      1,                0.09024,             0.00042419,             0.00042419,             0.00042419
                     44,                0.00028,                  0.975,                      1,                0.09025,             0.00041712,             0.00041712,             0.00041712
                     45,                 0.0003,                0.97333,                      1,                0.09019,             0.00041005,             0.00041005,             0.00041005
                     46,                0.00025,                0.97167,                      1,                0.09043,             0.00040298,             0.00040298,             0.00040298
                     47,                0.00022,                0.97333,                      1,                0.09037,             0.00039591,             0.00039591,             0.00039591
                     48,                0.00023,                0.97333,                      1,                0.09035,             0.00038884,             0.00038884,             0.00038884
                     49,                0.00021,                0.97167,                      1,                0.09049,             0.00038178,             0.00038178,             0.00038178
                     50,                0.00023,                0.97167,                      1,                0.09046,             0.00037471,             0.00037471,             0.00037471
                     51,                0.00021,                0.97167,                      1,                0.09055,             0.00036764,             0.00036764,             0.00036764
                     52,                0.00021,                0.97167,                      1,                0.09043,             0.00036057,             0.00036057,             0.00036057
                     53,                0.00022,                0.97333,                      1,                0.09033,              0.0003535,              0.0003535,              0.0003535
                     54,                0.00018,                   0.97,                      1,                 0.0906,             0.00034643,             0.00034643,             0.00034643
                     55,                0.00023,                   0.97,                      1,                0.09056,             0.00033936,             0.00033936,             0.00033936
                     56,                 0.0002,                   0.97,                      1,                 0.0907,              0.0003323,              0.0003323,              0.0003323
                     57,                0.00022,                   0.97,                      1,                0.09054,             0.00032523,             0.00032523,             0.00032523
                     58,                0.00018,                0.97333,                      1,                0.09038,             0.00031816,             0.00031816,             0.00031816
                     59,                0.00021,                   0.97,                      1,                0.09041,             0.00031109,             0.00031109,             0.00031109
                     60,                0.00017,                0.97167,                      1,                0.09047,             0.00030402,             0.00030402,             0.00030402
                     61,                0.00022,                0.97167,                      1,                0.09046,             0.00029695,             0.00029695,             0.00029695
                     62,                0.00017,                   0.97,                      1,                0.09053,             0.00028988,             0.00028988,             0.00028988
                     63,                0.00019,                   0.97,                      1,                0.09056,             0.00028282,             0.00028282,             0.00028282
                     64,                0.00014,                0.97167,                      1,                0.09045,             0.00027575,             0.00027575,             0.00027575
                     65,                0.00015,                0.97333,                      1,                0.09041,             0.00026868,             0.00026868,             0.00026868
                     66,                0.00013,                0.97167,                      1,                0.09047,             0.00026161,             0.00026161,             0.00026161
                     67,                0.00013,                   0.97,                      1,                 0.0909,             0.00025454,             0.00025454,             0.00025454
                     68,                0.00011,                0.96833,                      1,                0.09073,             0.00024747,             0.00024747,             0.00024747
                     69,                0.00011,                0.96833,                      1,                0.09055,              0.0002404,              0.0002404,              0.0002404
                     70,                0.00011,                0.96833,                      1,                0.09055,             0.00023334,             0.00023334,             0.00023334
                     71,                  9e-05,                0.96833,                      1,                0.09061,             0.00022627,             0.00022627,             0.00022627
                     72,                  8e-05,                0.96833,                      1,                0.09074,              0.0002192,              0.0002192,              0.0002192
                     73,                  7e-05,                0.96833,                      1,                0.09074,             0.00021213,             0.00021213,             0.00021213
                     74,                  4e-05,                   0.97,                      1,                0.09057,             0.00020506,             0.00020506,             0.00020506
                     75,                  4e-05,                   0.97,                      1,                0.09058,             0.00019799,             0.00019799,             0.00019799
                     76,                  3e-05,                   0.97,                      1,                0.09056,             0.00019092,             0.00019092,             0.00019092
                     77,                  2e-05,                0.96833,                      1,                0.09067,             0.00018385,             0.00018385,             0.00018385
                     78,                  4e-05,                0.96833,                      1,                0.09065,             0.00017679,             0.00017679,             0.00017679
                     79,                  2e-05,                   0.97,                      1,                0.09063,             0.00016972,             0.00016972,             0.00016972
                     80,                  1e-05,                   0.97,                      1,                0.09067,             0.00016265,             0.00016265,             0.00016265
                     81,                  2e-05,                0.96833,                      1,                0.09069,             0.00015558,             0.00015558,             0.00015558
