                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.05739,                   0.79,                      1,                0.12138,              0.0002375,              0.0002375,              0.0002375
                      2,                0.02736,                  0.735,                      1,                0.12552,              0.0004708,              0.0004708,              0.0004708
                      3,                0.02892,                0.93167,                      1,                0.09865,             0.00069938,             0.00069938,             0.00069938
                      4,                0.02148,                0.96167,                      1,                 0.0957,             0.00069279,             0.00069279,             0.00069279
                      5,                0.01243,                0.96167,                      1,                0.09524,             0.00069279,             0.00069279,             0.00069279
                      6,                0.00959,                   0.94,                      1,                0.09656,             0.00068573,             0.00068573,             0.00068573
                      7,                0.01111,                0.94333,                      1,                0.09816,             0.00067866,             0.00067866,             0.00067866
                      8,                  0.009,                  0.965,                      1,                0.09251,             0.00067159,             0.00067159,             0.00067159
                      9,                0.00684,                0.97167,                      1,                0.09267,             0.00066452,             0.00066452,             0.00066452
                     10,                0.00757,                0.95333,                      1,                0.09447,             0.00065745,             0.00065745,             0.00065745
                     11,                0.00705,                   0.95,                      1,                0.09527,             0.00065038,             0.00065038,             0.00065038
                     12,                0.00466,                0.96333,                      1,                 0.0923,             0.00064331,             0.00064331,             0.00064331
                     13,                 0.0026,                0.96333,                      1,                0.09268,             0.00063625,             0.00063625,             0.00063625
                     14,                0.00205,                   0.97,                      1,                0.09086,             0.00062918,             0.00062918,             0.00062918
                     15,                0.00302,                0.96333,                      1,                0.09164,             0.00062211,             0.00062211,             0.00062211
                     16,                 0.0035,                0.96333,                      1,                0.09337,             0.00061504,             0.00061504,             0.00061504
                     17,                0.00292,                  0.965,                      1,                0.09186,             0.00060797,             0.00060797,             0.00060797
                     18,                0.00246,                0.96667,                      1,                0.09162,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00251,                   0.97,                      1,                0.09148,             0.00059383,             0.00059383,             0.00059383
                     20,                0.00191,                0.97333,                      1,                 0.0908,             0.00058677,             0.00058677,             0.00058677
                     21,                0.00205,                0.96333,                      1,                0.09244,              0.0005797,              0.0005797,              0.0005797
                     22,                 0.0011,                0.96667,                      1,                0.09121,             0.00057263,             0.00057263,             0.00057263
                     23,                0.00071,                   0.97,                      1,                0.09064,             0.00056556,             0.00056556,             0.00056556
                     24,                0.00066,                   0.97,                      1,                0.09054,             0.00055849,             0.00055849,             0.00055849
                     25,                0.00064,                0.97167,                      1,                0.09048,             0.00055142,             0.00055142,             0.00055142
                     26,                0.00059,                  0.975,                      1,                0.09032,             0.00054435,             0.00054435,             0.00054435
                     27,                0.00053,                0.97167,                      1,                0.09045,             0.00053728,             0.00053728,             0.00053728
                     28,                0.00042,                   0.97,                      1,                0.09073,             0.00053022,             0.00053022,             0.00053022
                     29,                0.00039,                0.97333,                      1,                 0.0905,             0.00052315,             0.00052315,             0.00052315
                     30,                0.00033,                0.97167,                      1,                0.09057,             0.00051608,             0.00051608,             0.00051608
                     31,                0.00056,                   0.97,                      1,                0.09072,             0.00050901,             0.00050901,             0.00050901
                     32,                0.00032,                0.97333,                      1,                0.09038,             0.00050194,             0.00050194,             0.00050194
                     33,                0.00097,                  0.965,                      1,                0.09249,             0.00049487,             0.00049487,             0.00049487
                     34,                0.00127,                  0.975,                      1,                0.09034,              0.0004878,              0.0004878,              0.0004878
                     35,                0.00212,                0.96667,                      1,                0.09137,             0.00048074,             0.00048074,             0.00048074
                     36,                0.00209,                0.95833,                      1,                0.09307,             0.00047367,             0.00047367,             0.00047367
                     37,                0.00126,                0.96833,                      1,                0.09107,              0.0004666,              0.0004666,              0.0004666
                     38,                0.00208,                  0.955,                      1,                0.09309,             0.00045953,             0.00045953,             0.00045953
                     39,                0.00249,                0.95667,                      1,                0.09317,             0.00045246,             0.00045246,             0.00045246
                     40,                0.00188,                0.96667,                      1,                0.09159,             0.00044539,             0.00044539,             0.00044539
                     41,                0.00299,                0.95667,                      1,                0.09262,             0.00043832,             0.00043832,             0.00043832
                     42,                0.00173,                0.96667,                      1,                0.09123,             0.00043126,             0.00043126,             0.00043126
                     43,                0.00122,                0.97167,                      1,                0.09077,             0.00042419,             0.00042419,             0.00042419
                     44,                0.00089,                  0.965,                      1,                0.09136,             0.00041712,             0.00041712,             0.00041712
                     45,                0.00057,                0.97167,                      1,                0.09081,             0.00041005,             0.00041005,             0.00041005
                     46,                0.00055,                0.96667,                      1,                0.09115,             0.00040298,             0.00040298,             0.00040298
                     47,                0.00033,                0.96833,                      1,                0.09099,             0.00039591,             0.00039591,             0.00039591
                     48,                0.00024,                0.96833,                      1,                0.09097,             0.00038884,             0.00038884,             0.00038884
                     49,                0.00023,                0.96667,                      1,                0.09106,             0.00038178,             0.00038178,             0.00038178
                     50,                0.00015,                0.96833,                      1,                0.09106,             0.00037471,             0.00037471,             0.00037471
                     51,                  5e-05,                0.96833,                      1,                0.09095,             0.00036764,             0.00036764,             0.00036764
                     52,                  2e-05,                0.96833,                      1,                0.09097,             0.00036057,             0.00036057,             0.00036057
                     53,                  2e-05,                0.96833,                      1,                0.09093,              0.0003535,              0.0003535,              0.0003535
                     54,                  3e-05,                   0.97,                      1,                0.09085,             0.00034643,             0.00034643,             0.00034643
                     55,                  2e-05,                   0.97,                      1,                0.09094,             0.00033936,             0.00033936,             0.00033936
                     56,                  3e-05,                0.96833,                      1,                0.09106,              0.0003323,              0.0003323,              0.0003323
                     57,                  1e-05,                   0.97,                      1,                0.09097,             0.00032523,             0.00032523,             0.00032523
                     58,                  1e-05,                   0.97,                      1,                  0.091,             0.00031816,             0.00031816,             0.00031816
                     59,                  1e-05,                   0.97,                      1,                0.09105,             0.00031109,             0.00031109,             0.00031109
                     60,                  1e-05,                0.96833,                      1,                0.09107,             0.00030402,             0.00030402,             0.00030402
                     61,                  1e-05,                0.96833,                      1,                0.09106,             0.00029695,             0.00029695,             0.00029695
                     62,                  1e-05,                   0.97,                      1,                 0.0911,             0.00028988,             0.00028988,             0.00028988
                     63,                  2e-05,                0.96667,                      1,                0.09106,             0.00028282,             0.00028282,             0.00028282
                     64,                  3e-05,                  0.965,                      1,                0.09112,             0.00027575,             0.00027575,             0.00027575
                     65,                0.00065,                0.97167,                      1,                0.09061,             0.00026868,             0.00026868,             0.00026868
                     66,                0.00038,                0.96833,                      1,                 0.0908,             0.00026161,             0.00026161,             0.00026161
                     67,                0.00021,                0.96833,                      1,                0.09075,             0.00025454,             0.00025454,             0.00025454
                     68,                0.00016,                   0.97,                      1,                0.09084,             0.00024747,             0.00024747,             0.00024747
                     69,                  5e-05,                0.96833,                      1,                0.09075,              0.0002404,              0.0002404,              0.0002404
