                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1054,                 9.8169,                 1.0686,                0.41789,                  0.694,                0.42085,                0.15303,                 2.1572,                 1.4886,                0.87907,              0.0033267,              0.0033267,              0.0033267
                      2,                  2.357,                 1.5205,                0.91052,                0.53602,                 0.6735,                0.61022,                0.23728,                 2.1458,                 1.3427,                 0.8811,              0.0065941,              0.0065941,              0.0065941
                      3,                 2.3051,                 1.4428,                0.90715,                0.66516,                 0.7335,                0.71989,                0.30878,                 1.9376,                 1.2065,                0.86571,              0.0097955,              0.0097955,              0.0097955
                      4,                 2.1429,                 1.3253,                0.88983,                0.70716,                0.70271,                0.74777,                0.36667,                  1.733,                 1.1562,                0.84627,               0.009703,               0.009703,               0.009703
                      5,                 2.0007,                  1.197,                0.87381,                0.74092,                0.73926,                0.78452,                0.40159,                 1.6447,                 1.0538,                0.83417,               0.009703,               0.009703,               0.009703
                      6,                 1.8783,                 1.1525,                0.86139,                0.78624,                0.77241,                0.81338,                0.42309,                 1.6213,                0.99666,                0.83979,               0.009604,               0.009604,               0.009604
                      7,                  1.816,                 1.0751,                0.85506,                0.82769,                0.79257,                 0.8577,                0.46699,                 1.4929,                0.89806,                0.82899,               0.009505,               0.009505,               0.009505
                      8,                  1.737,                 1.0226,                0.84586,                0.84513,                 0.8195,                0.88931,                0.51189,                 1.4579,                0.86728,                0.81892,               0.009406,               0.009406,               0.009406
                      9,                 1.6839,                 0.9766,                0.84715,                0.86976,                0.83476,                0.90252,                 0.5026,                 1.4921,                0.85044,                0.82141,               0.009307,               0.009307,               0.009307
                     10,                 1.6439,                 0.9411,                0.84212,                0.85966,                 0.8215,                0.89321,                 0.5089,                 1.4672,                0.83661,                0.81537,               0.009208,               0.009208,               0.009208
                     11,                 1.6226,                0.91489,                0.83915,                0.87575,                0.84935,                0.91187,                0.53333,                 1.4164,                0.77714,                0.81072,               0.009109,               0.009109,               0.009109
                     12,                 1.5954,                0.90458,                0.83798,                0.90694,                0.87714,                0.93201,                0.55498,                 1.3417,                0.74271,                0.80819,                0.00901,                0.00901,                0.00901
                     13,                 1.5661,                0.87069,                0.83518,                0.89906,                  0.861,                0.92709,                0.55757,                  1.365,                 0.7738,                0.80867,               0.008911,               0.008911,               0.008911
                     14,                 1.5409,                0.85647,                0.83416,                0.88334,                0.88209,                0.92419,                0.56561,                 1.3374,                0.74147,                0.80805,               0.008812,               0.008812,               0.008812
                     15,                  1.514,                 0.8305,                0.83256,                 0.9057,                 0.8795,                0.93778,                0.58177,                 1.3099,                0.71786,                0.80663,               0.008713,               0.008713,               0.008713
                     16,                 1.4914,                0.83885,                0.83304,                0.90316,                  0.881,                0.93697,                0.57901,                 1.2803,                0.70846,                0.80513,               0.008614,               0.008614,               0.008614
                     17,                 1.4795,                0.82044,                 0.8308,                0.91628,                0.87557,                0.93816,                0.58959,                 1.2677,                 0.6979,                0.79997,               0.008515,               0.008515,               0.008515
                     18,                 1.4968,                0.80565,                0.83004,                0.91512,                0.88942,                0.93965,                0.59153,                 1.2657,                0.68882,                0.80054,               0.008416,               0.008416,               0.008416
                     19,                 1.4673,                0.78671,                0.82639,                0.91142,                  0.882,                0.93691,                0.59546,                 1.2547,                0.71208,                0.79982,               0.008317,               0.008317,               0.008317
