                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.03699,                0.64833,                      1,                0.08394,              0.0002377,              0.0002377,              0.0002377
                      2,                0.01334,                  0.925,                      1,                0.05942,             0.00047099,             0.00047099,             0.00047099
                      3,                0.01496,                0.93667,                      1,                0.05949,             0.00069957,             0.00069957,             0.00069957
                      4,                0.01041,                0.94333,                      1,                0.05916,             0.00069279,             0.00069279,             0.00069279
                      5,                0.00746,                  0.945,                      1,                0.05833,             0.00069279,             0.00069279,             0.00069279
                      6,                0.00528,                0.90667,                      1,                0.06065,             0.00068573,             0.00068573,             0.00068573
                      7,                0.00727,                   0.95,                      1,                0.05818,             0.00067866,             0.00067866,             0.00067866
                      8,                0.00497,                   0.94,                      1,                0.05884,             0.00067159,             0.00067159,             0.00067159
                      9,                0.00399,                  0.945,                      1,                 0.0576,             0.00066452,             0.00066452,             0.00066452
                     10,                0.00419,                0.94667,                      1,                0.05756,             0.00065745,             0.00065745,             0.00065745
                     11,                0.00218,                  0.945,                      1,                0.05723,             0.00065038,             0.00065038,             0.00065038
                     12,                0.00178,                0.94333,                      1,                0.05711,             0.00064331,             0.00064331,             0.00064331
                     13,                0.00126,                0.92167,                      1,                0.05886,             0.00063625,             0.00063625,             0.00063625
                     14,                0.00363,                0.93167,                      1,                0.05841,             0.00062918,             0.00062918,             0.00062918
                     15,                0.00247,                0.93167,                      1,                0.05808,             0.00062211,             0.00062211,             0.00062211
                     16,                0.00133,                0.95167,                      1,                0.05649,             0.00061504,             0.00061504,             0.00061504
                     17,                0.00129,                0.94833,                      1,                 0.0574,             0.00060797,             0.00060797,             0.00060797
                     18,                0.00095,                0.95333,                      1,                 0.0561,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00081,                0.95167,                      1,                0.05641,             0.00059383,             0.00059383,             0.00059383
                     20,                0.00077,                0.94667,                      1,                 0.0563,             0.00058677,             0.00058677,             0.00058677
                     21,                 0.0005,                0.95667,                      1,                0.05564,              0.0005797,              0.0005797,              0.0005797
                     22,                0.00062,                0.94833,                      1,                0.05649,             0.00057263,             0.00057263,             0.00057263
                     23,                 0.0004,                0.95667,                      1,                0.05581,             0.00056556,             0.00056556,             0.00056556
                     24,                0.00032,                0.96167,                      1,                0.05526,             0.00055849,             0.00055849,             0.00055849
                     25,                0.00029,                0.96167,                      1,                0.05533,             0.00055142,             0.00055142,             0.00055142
                     26,                0.00033,                0.96167,                      1,                0.05535,             0.00054435,             0.00054435,             0.00054435
                     27,                0.00027,                0.96167,                      1,                0.05531,             0.00053728,             0.00053728,             0.00053728
                     28,                0.00044,                0.95667,                      1,                0.05582,             0.00053022,             0.00053022,             0.00053022
                     29,                0.00036,                0.95333,                      1,                0.05601,             0.00052315,             0.00052315,             0.00052315
                     30,                0.00029,                0.95667,                      1,                0.05591,             0.00051608,             0.00051608,             0.00051608
                     31,                 0.0003,                0.95333,                      1,                0.05606,             0.00050901,             0.00050901,             0.00050901
                     32,                0.00028,                0.95333,                      1,                0.05596,             0.00050194,             0.00050194,             0.00050194
                     33,                0.00029,                  0.955,                      1,                0.05579,             0.00049487,             0.00049487,             0.00049487
                     34,                0.00029,                   0.96,                      1,                0.05562,              0.0004878,              0.0004878,              0.0004878
                     35,                0.00026,                   0.96,                      1,                0.05547,             0.00048074,             0.00048074,             0.00048074
                     36,                0.00028,                0.95833,                      1,                0.05553,             0.00047367,             0.00047367,             0.00047367
                     37,                0.00024,                   0.96,                      1,                0.05558,              0.0004666,              0.0004666,              0.0004666
                     38,                0.00025,                0.96167,                      1,                0.05556,             0.00045953,             0.00045953,             0.00045953
                     39,                0.00029,                0.96167,                      1,                 0.0552,             0.00045246,             0.00045246,             0.00045246
                     40,                0.00032,                0.96167,                      1,                0.05514,             0.00044539,             0.00044539,             0.00044539
                     41,                0.00029,                   0.96,                      1,                0.05523,             0.00043832,             0.00043832,             0.00043832
                     42,                0.00026,                0.96167,                      1,                0.05529,             0.00043126,             0.00043126,             0.00043126
                     43,                0.00028,                   0.96,                      1,                0.05535,             0.00042419,             0.00042419,             0.00042419
                     44,                0.00027,                   0.96,                      1,                 0.0554,             0.00041712,             0.00041712,             0.00041712
                     45,                0.00026,                   0.96,                      1,                0.05547,             0.00041005,             0.00041005,             0.00041005
                     46,                0.00028,                   0.96,                      1,                0.05537,             0.00040298,             0.00040298,             0.00040298
                     47,                0.00026,                   0.96,                      1,                0.05542,             0.00039591,             0.00039591,             0.00039591
                     48,                0.00028,                0.96167,                      1,                0.05523,             0.00038884,             0.00038884,             0.00038884
                     49,                0.00027,                0.96333,                      1,                 0.0552,             0.00038178,             0.00038178,             0.00038178
                     50,                0.00025,                0.96167,                      1,                0.05526,             0.00037471,             0.00037471,             0.00037471
                     51,                0.00025,                0.96333,                      1,                0.05516,             0.00036764,             0.00036764,             0.00036764
                     52,                0.00022,                0.96333,                      1,                 0.0552,             0.00036057,             0.00036057,             0.00036057
                     53,                0.00024,                0.96167,                      1,                0.05534,              0.0003535,              0.0003535,              0.0003535
                     54,                0.00021,                0.96167,                      1,                0.05533,             0.00034643,             0.00034643,             0.00034643
                     55,                0.00022,                   0.96,                      1,                0.05538,             0.00033936,             0.00033936,             0.00033936
                     56,                0.00021,                   0.96,                      1,                0.05538,              0.0003323,              0.0003323,              0.0003323
                     57,                0.00018,                  0.965,                      1,                0.05524,             0.00032523,             0.00032523,             0.00032523
                     58,                0.00019,                  0.955,                      1,                 0.0557,             0.00031816,             0.00031816,             0.00031816
                     59,                0.00024,                   0.97,                      1,                0.05491,             0.00031109,             0.00031109,             0.00031109
                     60,                0.00023,                0.96833,                      1,                0.05488,             0.00030402,             0.00030402,             0.00030402
                     61,                0.00016,                  0.965,                      1,                0.05504,             0.00029695,             0.00029695,             0.00029695
                     62,                  9e-05,                0.96667,                      1,                0.05498,             0.00028988,             0.00028988,             0.00028988
                     63,                0.00016,                0.96833,                      1,                0.05492,             0.00028282,             0.00028282,             0.00028282
                     64,                0.00021,                  0.965,                      1,                0.05493,             0.00027575,             0.00027575,             0.00027575
                     65,                0.00019,                0.96667,                      1,                0.05506,             0.00026868,             0.00026868,             0.00026868
                     66,                0.00016,                0.96333,                      1,                0.05504,             0.00026161,             0.00026161,             0.00026161
                     67,                0.00017,                0.96333,                      1,                0.05513,             0.00025454,             0.00025454,             0.00025454
                     68,                  9e-05,                0.96333,                      1,                0.05503,             0.00024747,             0.00024747,             0.00024747
                     69,                  5e-05,                  0.965,                      1,                0.05501,              0.0002404,              0.0002404,              0.0002404
                     70,                  3e-05,                0.96333,                      1,                0.05507,             0.00023334,             0.00023334,             0.00023334
                     71,                  1e-05,                  0.965,                      1,                0.05508,             0.00022627,             0.00022627,             0.00022627
                     72,                  1e-05,                  0.965,                      1,                 0.0551,              0.0002192,              0.0002192,              0.0002192
                     73,                  1e-05,                  0.965,                      1,                0.05506,             0.00021213,             0.00021213,             0.00021213
                     74,                  1e-05,                0.96333,                      1,                  0.055,             0.00020506,             0.00020506,             0.00020506
                     75,                  1e-05,                0.96333,                      1,                0.05505,             0.00019799,             0.00019799,             0.00019799
                     76,                  1e-05,                  0.965,                      1,                0.05508,             0.00019092,             0.00019092,             0.00019092
                     77,                  1e-05,                0.96333,                      1,                0.05507,             0.00018385,             0.00018385,             0.00018385
                     78,                  1e-05,                0.96333,                      1,                0.05506,             0.00017679,             0.00017679,             0.00017679
                     79,                      0,                  0.965,                      1,                0.05507,             0.00016972,             0.00016972,             0.00016972
                     80,                      0,                  0.965,                      1,                0.05507,             0.00016265,             0.00016265,             0.00016265
                     81,                      0,                0.96333,                      1,                0.05506,             0.00015558,             0.00015558,             0.00015558
                     82,                      0,                0.96333,                      1,                0.05504,             0.00014851,             0.00014851,             0.00014851
                     83,                      0,                  0.965,                      1,                0.05506,             0.00014144,             0.00014144,             0.00014144
                     84,                      0,                0.96333,                      1,                0.05506,             0.00013437,             0.00013437,             0.00013437
                     85,                      0,                0.96333,                      1,                0.05507,             0.00012731,             0.00012731,             0.00012731
                     86,                      0,                  0.965,                      1,                0.05508,             0.00012024,             0.00012024,             0.00012024
                     87,                      0,                0.96333,                      1,                0.05507,             0.00011317,             0.00011317,             0.00011317
                     88,                      0,                  0.965,                      1,                0.05508,              0.0001061,              0.0001061,              0.0001061
                     89,                      0,                0.96333,                      1,                0.05506,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                      0,                0.96333,                      1,                0.05505,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                      0,                0.96333,                      1,                0.05506,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                      0,                0.96333,                      1,                0.05507,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                      0,                0.96333,                      1,                0.05507,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                      0,                0.96333,                      1,                0.05506,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                      0,                0.96333,                      1,                0.05505,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                      0,                0.96333,                      1,                0.05505,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                      0,                0.96333,                      1,                0.05503,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                      0,                  0.965,                      1,                0.05507,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                      0,                0.96333,                      1,                0.05506,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                      0,                0.96333,                      1,                0.05506,             2.1277e-05,             2.1277e-05,             2.1277e-05
