                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9947,                 11.842,                 1.1011,                0.47162,                    0.7,                0.46036,                0.18789,                  2.049,                 1.4723,                0.92553,             0.00023705,             0.00023705,             0.00023705
                      2,                 2.1927,                 1.6787,                0.92215,                0.47506,                0.85431,                0.51577,                0.23255,                 1.9022,                 1.3239,                0.91538,             0.00047035,             0.00047035,             0.00047035
                      3,                 2.0496,                 1.5152,                0.90695,                0.49447,                  0.848,                0.56615,                0.27367,                 1.7202,                 1.2457,                0.89779,             0.00069893,             0.00069893,             0.00069893
                      4,                 1.8676,                 1.3703,                0.88164,                0.49864,                   0.87,                0.57449,                0.30117,                 1.6094,                 1.2299,                 0.8793,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.7711,                 1.3155,                0.87197,                0.51132,                0.89146,                0.59756,                0.32808,                  1.485,                 1.1523,                0.86543,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.6841,                 1.2774,                0.86241,                0.51296,                  0.895,                0.57379,                0.32225,                 1.4739,                 1.1446,                0.86687,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.6175,                 1.2266,                0.85566,                0.54062,                  0.873,                0.62439,                0.35993,                  1.469,                 1.1229,                0.86066,             0.00067866,             0.00067866,             0.00067866
                      8,                  1.601,                 1.2178,                0.84974,                0.58112,                0.80879,                0.65271,                0.38308,                  1.364,                 1.1007,                0.85691,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.5616,                 1.1965,                0.84412,                0.60549,                  0.832,                0.69984,                0.40034,                 1.3765,                 1.0833,                0.85299,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.5379,                 1.1298,                0.84431,                0.68782,                    0.8,                0.78594,                0.48227,                 1.3088,                 1.0127,                0.85077,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.4569,                 1.0872,                0.83547,                0.69046,                  0.818,                0.79772,                0.48896,                  1.348,                0.99248,                0.85779,             0.00065038,             0.00065038,             0.00065038
                     12,                 1.4598,                 1.0723,                0.83554,                0.69976,                  0.814,                 0.8151,                0.50658,                 1.2644,                 0.9575,                0.84861,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.4695,                 1.0383,                0.83631,                0.71417,                  0.821,                0.82505,                0.52132,                 1.2626,                0.94598,                0.84701,             0.00063625,             0.00063625,             0.00063625
