                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.101,                  8.916,                 1.0583,                0.41808,                0.65307,                0.43106,                0.17232,                 2.1189,                 1.5262,                0.87515,              0.0033267,              0.0033267,              0.0033267
                      2,                 2.3238,                 1.5418,                0.90567,                0.52613,                 0.7355,                0.58448,                0.24784,                 2.0682,                 1.3482,                0.86599,              0.0065941,              0.0065941,              0.0065941
                      3,                  2.282,                 1.4559,                0.90272,                 0.6463,                  0.651,                0.67644,                0.30124,                 1.8895,                 1.2606,                0.86172,              0.0097955,              0.0097955,              0.0097955
                      4,                 2.1607,                 1.3853,                0.88964,                 0.6449,                 0.7375,                0.71673,                0.33655,                 1.7517,                 1.1541,                 0.8462,               0.009703,               0.009703,               0.009703
                      5,                 1.9913,                 1.2669,                0.87476,                0.71234,                 0.7635,                0.76393,                0.40579,                 1.6199,                 1.0684,                0.84249,               0.009703,               0.009703,               0.009703
                      6,                 1.9046,                 1.2074,                0.86021,                0.72452,                  0.756,                0.77812,                0.40982,                 1.5799,                 1.0411,                 0.8361,               0.009604,               0.009604,               0.009604
                      7,                   1.83,                 1.1586,                0.85478,                0.74483,                  0.775,                0.79415,                0.44187,                 1.4954,                 1.0676,                0.83332,               0.009505,               0.009505,               0.009505
                      8,                 1.7667,                  1.116,                0.84765,                0.74382,                0.76073,                0.78632,                0.44903,                 1.4569,                 1.0245,                0.82449,               0.009406,               0.009406,               0.009406
                      9,                 1.6954,                 1.0877,                0.84367,                 0.7618,                 0.7635,                0.81233,                0.46578,                 1.4713,                0.99127,                0.82694,               0.009307,               0.009307,               0.009307
                     10,                 1.6808,                 1.0846,                0.84108,                0.78998,                  0.766,                0.81917,                 0.4815,                  1.409,                0.96033,                0.81758,               0.009208,               0.009208,               0.009208
                     11,                 1.6339,                 1.0261,                0.84081,                0.80552,                 0.7925,                0.83292,                0.48327,                  1.397,                0.95192,                0.81977,               0.009109,               0.009109,               0.009109
                     12,                 1.5962,                 1.0079,                0.84097,                0.83441,                0.82891,                0.87216,                0.53565,                 1.3287,                0.86897,                0.81522,                0.00901,                0.00901,                0.00901
                     13,                 1.5757,                0.97007,                0.83368,                0.82355,                0.81676,                0.86609,                0.51399,                 1.3848,                0.88614,                0.81359,               0.008911,               0.008911,               0.008911
                     14,                 1.5638,                0.95746,                0.83385,                0.84181,                  0.859,                0.90823,                0.56155,                   1.31,                0.81184,                0.81535,               0.008812,               0.008812,               0.008812
                     15,                 1.5105,                0.91866,                0.83017,                0.89078,                  0.855,                0.91501,                  0.571,                 1.2847,                0.79276,                 0.8126,               0.008713,               0.008713,               0.008713
