                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9938,                 12.401,                 1.1108,                0.47189,                0.71304,                0.48091,                0.19596,                 2.0559,                  1.512,                0.92571,             0.00023705,             0.00023705,             0.00023705
                      2,                 2.1811,                  1.665,                0.92407,                0.46467,                  0.764,                0.53924,                0.26184,                 1.7969,                 1.4392,                0.89577,             0.00047035,             0.00047035,             0.00047035
                      3,                 1.9991,                 1.4683,                0.90018,                0.49254,                   0.84,                 0.5752,                0.29998,                 1.6548,                 1.2776,                0.87838,             0.00069893,             0.00069893,             0.00069893
                      4,                 1.8544,                 1.3662,                0.88358,                0.50798,                  0.849,                0.58432,                0.29199,                 1.7089,                 1.2386,                0.88461,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.7798,                 1.3134,                0.87129,                0.52057,                  0.869,                0.58669,                0.33225,                 1.5191,                  1.197,                0.86334,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.6836,                  1.251,                0.86342,                0.54158,                0.81399,                0.62629,                0.35254,                 1.4618,                 1.1767,                0.86021,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.6077,                 1.1956,                0.85285,                0.59615,                0.77942,                0.68811,                0.39857,                 1.4495,                 1.1243,                0.85425,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.5885,                 1.1559,                0.85306,                0.64419,                  0.801,                0.73836,                0.42087,                 1.5017,                 1.1228,                0.86308,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.5414,                 1.1378,                0.84757,                 0.6152,                  0.847,                0.72407,                0.43111,                 1.3497,                 1.0679,                0.85071,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.4863,                 1.0946,                0.83981,                0.66314,                0.79729,                0.75625,                0.46607,                 1.3157,                 1.0345,                0.84915,             0.00065745,             0.00065745,             0.00065745
