                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.0526,                0.88667,                      1,                0.10883,              0.0002375,              0.0002375,              0.0002375
                      2,                  0.025,                0.91833,                      1,                0.10225,              0.0004708,              0.0004708,              0.0004708
                      3,                 0.0188,                   0.92,                      1,                0.10078,             0.00069938,             0.00069938,             0.00069938
                      4,                 0.0202,                0.92667,                      1,                0.10157,             0.00069279,             0.00069279,             0.00069279
                      5,                0.01398,                   0.94,                      1,                0.09821,             0.00069279,             0.00069279,             0.00069279
                      6,                 0.0106,                0.94167,                      1,                0.09683,             0.00068573,             0.00068573,             0.00068573
                      7,                0.00803,                0.96167,                      1,                0.09367,             0.00067866,             0.00067866,             0.00067866
                      8,                0.00874,                0.91333,                      1,                 0.1001,             0.00067159,             0.00067159,             0.00067159
                      9,                 0.0077,                0.96167,                      1,                0.09349,             0.00066452,             0.00066452,             0.00066452
                     10,                 0.0091,                0.95333,                      1,                0.09719,             0.00065745,             0.00065745,             0.00065745
                     11,                0.00487,                   0.96,                      1,                0.09318,             0.00065038,             0.00065038,             0.00065038
                     12,                0.00718,                  0.955,                      1,                0.09456,             0.00064331,             0.00064331,             0.00064331
                     13,                0.00422,                0.94833,                      1,                0.09516,             0.00063625,             0.00063625,             0.00063625
                     14,                0.00488,                0.96667,                      1,                0.09283,             0.00062918,             0.00062918,             0.00062918
                     15,                0.00287,                0.94167,                      1,                0.09534,             0.00062211,             0.00062211,             0.00062211
                     16,                0.00298,                0.95833,                      1,                0.09272,             0.00061504,             0.00061504,             0.00061504
                     17,                0.00171,                0.95833,                      1,                0.09317,             0.00060797,             0.00060797,             0.00060797
                     18,                0.00263,                0.95667,                      1,                0.09337,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00177,                0.96333,                      1,                0.09216,             0.00059383,             0.00059383,             0.00059383
                     20,                0.00117,                0.97333,                      1,                0.09109,             0.00058677,             0.00058677,             0.00058677
                     21,                0.00096,                   0.97,                      1,                0.09096,              0.0005797,              0.0005797,              0.0005797
                     22,                 0.0009,                0.97167,                      1,                0.09067,             0.00057263,             0.00057263,             0.00057263
                     23,                0.00135,                0.96833,                      1,                0.09159,             0.00056556,             0.00056556,             0.00056556
                     24,                0.00156,                0.95833,                      1,                0.09266,             0.00055849,             0.00055849,             0.00055849
                     25,                0.00132,                  0.975,                      1,                0.09055,             0.00055142,             0.00055142,             0.00055142
                     26,                0.00144,                  0.965,                      1,                0.09153,             0.00054435,             0.00054435,             0.00054435
                     27,                0.00194,                  0.955,                      1,                0.09344,             0.00053728,             0.00053728,             0.00053728
                     28,                0.00368,                0.95833,                      1,                0.09334,             0.00053022,             0.00053022,             0.00053022
                     29,                0.00461,                   0.95,                      1,                0.09391,             0.00052315,             0.00052315,             0.00052315
                     30,                0.00373,                0.95167,                      1,                0.09346,             0.00051608,             0.00051608,             0.00051608
                     31,                0.00293,                0.95167,                      1,                0.09368,             0.00050901,             0.00050901,             0.00050901
                     32,                0.00507,                0.96167,                      1,                0.09262,             0.00050194,             0.00050194,             0.00050194
                     33,                0.00165,                0.95167,                      1,                0.09409,             0.00049487,             0.00049487,             0.00049487
                     34,                0.00283,                0.95667,                      1,                 0.0933,              0.0004878,              0.0004878,              0.0004878
                     35,                 0.0012,                   0.96,                      1,                 0.0928,             0.00048074,             0.00048074,             0.00048074
                     36,                0.00063,                0.96167,                      1,                0.09242,             0.00047367,             0.00047367,             0.00047367
                     37,                0.00055,                   0.96,                      1,                0.09244,              0.0004666,              0.0004666,              0.0004666
                     38,                0.00055,                  0.955,                      1,                0.09307,             0.00045953,             0.00045953,             0.00045953
                     39,                0.00075,                0.95667,                      1,                0.09307,             0.00045246,             0.00045246,             0.00045246
                     40,                0.00052,                  0.955,                      1,                0.09306,             0.00044539,             0.00044539,             0.00044539
                     41,                0.00051,                0.95667,                      1,                  0.093,             0.00043832,             0.00043832,             0.00043832
                     42,                0.00049,                0.95667,                      1,                0.09296,             0.00043126,             0.00043126,             0.00043126
                     43,                0.00056,                0.95833,                      1,                0.09285,             0.00042419,             0.00042419,             0.00042419
                     44,                0.00052,                0.95833,                      1,                 0.0928,             0.00041712,             0.00041712,             0.00041712
                     45,                0.00045,                0.95833,                      1,                0.09266,             0.00041005,             0.00041005,             0.00041005
                     46,                0.00064,                0.94667,                      1,                0.09446,             0.00040298,             0.00040298,             0.00040298
                     47,                0.00053,                0.95833,                      1,                0.09256,             0.00039591,             0.00039591,             0.00039591
                     48,                0.00046,                0.95667,                      1,                0.09293,             0.00038884,             0.00038884,             0.00038884
                     49,                0.00046,                0.95667,                      1,                 0.0929,             0.00038178,             0.00038178,             0.00038178
                     50,                 0.0005,                0.95667,                      1,                0.09281,             0.00037471,             0.00037471,             0.00037471
                     51,                0.00043,                0.95667,                      1,                0.09267,             0.00036764,             0.00036764,             0.00036764
                     52,                 0.0004,                  0.955,                      1,                0.09299,             0.00036057,             0.00036057,             0.00036057
                     53,                0.00021,                  0.955,                      1,                0.09304,              0.0003535,              0.0003535,              0.0003535
                     54,                0.00025,                  0.955,                      1,                0.09295,             0.00034643,             0.00034643,             0.00034643
                     55,                0.00015,                0.95833,                      1,                0.09277,             0.00033936,             0.00033936,             0.00033936
                     56,                0.00012,                   0.96,                      1,                0.09271,              0.0003323,              0.0003323,              0.0003323
                     57,                  6e-05,                0.95333,                      1,                0.09297,             0.00032523,             0.00032523,             0.00032523
                     58,                  3e-05,                0.95833,                      1,                0.09289,             0.00031816,             0.00031816,             0.00031816
                     59,                  2e-05,                  0.955,                      1,                0.09306,             0.00031109,             0.00031109,             0.00031109
                     60,                  2e-05,                0.95667,                      1,                0.09303,             0.00030402,             0.00030402,             0.00030402
                     61,                  1e-05,                  0.955,                      1,                  0.093,             0.00029695,             0.00029695,             0.00029695
                     62,                  1e-05,                0.95333,                      1,                0.09304,             0.00028988,             0.00028988,             0.00028988
